# Date: 2018-11-23
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	notes
AGPAT1	2 H+[c] + R Total 2 Coenzyme A[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	2 H+[c] + R Total 2 Coenzyme A[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
AGPAT2	palmitoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	palmitoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
AGPAT3	oleoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	oleoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
AGPAT4	linoleoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	linoleoyl-CoA[c] + Lysophosphatidic Acid[c] => CoA[c] + phosphatidate-LD-TAG pool[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ALPA_HSx	acylglycerone-phosphate[p] + H+[p] + NADP+[p] => NADPH[p] + Lysophosphatidic Acid[p]	acylglycerone-phosphate[p] + H+[p] + NADPH[p] => NADP+[p] + Lysophosphatidic Acid[p]	0.000000	0.000000	1000.000000	1000.000000	reaction should consume NADPH, not produce it (KEGG R02756)
ARTFR12	FADH2[m] + palmitoleoyl-CoA[c] => FAD[m] + R Group 1 Coenzyme A[c]	H+[m] + NADPH[m] + palmitoleoyl-CoA[c] => NADP+[m] + R Group 1 Coenzyme A[c]	0.000000	0.000000	1000.000000	1000.000000	cofactor changed from FADH2 to NADPH
ARTFR13	myristoyl-CoA[c] => 0.875 R Group 1 Coenzyme A[c]	myristoyl-CoA[c] => 0.875 R Group 1 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR202	2 FADH2[m] + H+[m] + linolenoyl-CoA[c] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	2 FADH2[m] + H+[m] + linolenoyl-CoA[c] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR203	2 FADH2[m] + gamma-linolenoyl-CoA[c] + H+[m] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	2 FADH2[m] + gamma-linolenoyl-CoA[c] + H+[m] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR204	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR205	dihomo-gamma-linolenoyl-CoA[c] + 2 FADH2[m] + H+[m] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	dihomo-gamma-linolenoyl-CoA[c] + 2 FADH2[m] + H+[m] + NADPH[m] => 2 FAD[m] + NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR206	arachidonyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	arachidonyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR207	eicosanoyl-CoA[c] => 1.25 R Group 2 Coenzyme A[c]	eicosanoyl-CoA[c] => 1.25 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR208	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.25 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR209	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + 2 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 2 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR210	FADH2[m] + H+[m] + linoleoyl-CoA[c] + NADPH[m] => FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	FADH2[m] + H+[m] + linoleoyl-CoA[c] + NADPH[m] => FAD[m] + NADP+[m] + 1.125 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR211	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR212	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + 3 FADH2[m] + 2 H+[m] + 2 NADPH[m] => 3 FAD[m] + 2 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR213	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + 3 FADH2[m] + 3 H+[m] + 3 NADPH[m] => 3 FAD[m] + 3 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + 3 FADH2[m] + 3 H+[m] + 3 NADPH[m] => 3 FAD[m] + 3 NADP+[m] + 1.375 R Group 2 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR31	stearoyl-CoA[c] => 1.125 R Group 3 Coenzyme A[c]	stearoyl-CoA[c] => 1.125 R Group 3 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR32	FADH2[m] + oleoyl-CoA[c] => FAD[m] + 1.125 R Group 3 Coenzyme A[c]	H+[m] + NADPH[m] + oleoyl-CoA[c] => NADP+[m] + 1.125 R Group 3 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	cofactor changed from FADH2 to NADPH;reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR33	FADH2[m] + 11-Octadecenoyl Coenzyme A[c] => FAD[m] + 1.125 R Group 3 Coenzyme A[c]	H+[m] + NADPH[m] + 11-Octadecenoyl Coenzyme A[c] => NADP+[m] + 1.125 R Group 3 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	cofactor changed from FADH2 to NADPH;reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
ARTFR34	(6Z,9Z)-octadecadienoyl-CoA[c] + 2 FADH2[m] => 2 FAD[m] + 1.125 R Group 3 Coenzyme A[c]	(6Z,9Z)-octadecadienoyl-CoA[c] + H+[m] + NADPH[m] => NADP+[m] + 1.125 R Group 3 Coenzyme A[c]	0.000000	0.000000	1000.000000	0.000000	cofactor changed from FADH2 to NADPH;reaction is artificial and involves dead-end artificial metabolite with no apparent purpose, and should therefore be DELETED
