metsNoComp	example_met	model_name	chebi_id	chebi_preferred	category
MAM00005	MAM00005c	(11R)-HPETE	CHEBI:34127	11(R)-HPETE	close-typo
MAM00028	MAM00028c	(18R)-HEPE	CHEBI:81563	18(R)-HEPE	close-typo
MAM00163	MAM00163c	(R)-4-phosphopantothenoyl-cysteine	CHEBI:15769	N-[(R)-4-phosphopantothenoyl]-L-cysteine	close-typo
MAM00521	MAM00521c	1D-myo-inositol-1,3,4,5,6-pentakisphosphate	CHEBI:16322	myo-inositol 1,3,4,5,6-pentakisphosphate	close-typo
MAM00523	MAM00523c	1D-myo-inositol-1,3,4,6-tetrakisphosphate	CHEBI:16155	myo-inositol 1,3,4,6-tetrakisphosphate	close-typo
MAM00561	MAM00561m	2-(alpha-hydroxyethyl)thiamine-diphosphate	CHEBI:978	2-(1-hydroxyethyl)thiamine diphosphate	close-typo
MAM00965	MAM00965c	4alpha-hydroxytetrahydrobiopterin	CHEBI:15374	4a-hydroxytetrahydrobiopterin	close-typo
MAM00998	MAM00998c	4-hydroxy-debrisoquine	CHEBI:63800	4-hydroxydebrisoquin	close-typo
MAM01107	MAM01107c	5-hydroxy-L-tryptophan	CHEBI:28171	5-hydroxytryptophan	close-typo
MAM01143	MAM01143c	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	CHEBI:17049	6-(α-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	close-typo
MAM01278	MAM01278c	acylglycerone-phosphate	CHEBI:15835	1-acylglycerone 3-phosphate	close-typo
MAM01283	MAM01283c	adenylyl sulfate	CHEBI:17709	5'-adenylyl sulfate	close-typo
MAM01288	MAM01288c	ADP-ribose	CHEBI:16960	ADP-D-ribose	close-typo
MAM01311	MAM01311c	alkyl-glycerone-3-phosphate	CHEBI:17197	1-alkylglycerone 3-phosphate	close-typo
MAM01316	MAM01316r	all-trans-decaprenyl-diphosphate	CHEBI:60721	all-trans-decaprenyl diphosphate(3−)	close-typo
MAM01718	MAM01718c	D-myo-inositol-1,4,5-trisphosphate	CHEBI:16595	1D-myo-inositol 1,4,5-trisphosphate	close-typo
MAM01750	MAM01750c	dTDP-galactose	CHEBI:14086	dTDP-D-galactose	close-typo
MAM01785	MAM01785c	erythrose-4-phosphate	CHEBI:48153	D-erythrose 4-phosphate	close-typo
MAM01966	MAM01966c	glucose-1,6-bisphosphate	CHEBI:18148	α-D-glucose 1,6-bisphosphate	close-typo
MAM02327	MAM02327m	L-4-hydroxyglutamate semialdehyde	CHEBI:27809	L-4-hydroxyglutamic semialdehyde	close-typo
MAM02454	MAM02454c	mannose-1-phosphate	CHEBI:35374	D-mannose 1-phosphate	close-typo
MAM02455	MAM02455c	mannose-6-phosphate	CHEBI:17369	D-mannose 6-phosphate	close-typo
MAM02476	MAM02476c	methylimidazole-acetaldehyde	CHEBI:28104	1-methylimidazole-4-acetaldehyde	close-typo
MAM02526	MAM02526c	N-acetylgalactosamine-1-phosphate	CHEBI:55404	N-acetyl-D-galactosamine 1-phosphate	close-typo
MAM02527	MAM02527c	N-acetylglucosamine	CHEBI:506227	N-acetyl-D-glucosamine	close-typo
MAM02529	MAM02529c	N-acetylglucosamine-6-phosphate	CHEBI:15784	N-acetyl-D-glucosamine 6-phosphate	close-typo
MAM02658	MAM02658c	ornithine	CHEBI:15729	L-ornithine	close-typo
MAM02700	MAM02700c	peptide-2-[3-carboxy-3-(methylammonio)propyl]-L-histidine	CHEBI:16475	2-[3-carboxy-3-(methylammonio)propyl]-L-histidine	close-typo
MAM02814	MAM02814c	pyridoxal-phosphate	CHEBI:18405	pyridoxal 5'-phosphate	close-typo
MAM02816	MAM02816c	pyridoxamine-phosphate	CHEBI:18335	pyridoxamine 5'-phosphate	close-typo
MAM02818	MAM02818c	pyridoxine-phosphate	CHEBI:28803	pyridoxine 5'-phosphate	close-typo
MAM02846	MAM02846c	ribulose-5-phosphate	CHEBI:17363	D-ribulose 5-phosphate	close-typo
MAM02878	MAM02878m	S-aminomethyldihydrolipoamide	CHEBI:50622	S8-aminomethyldihydrolipoamide	close-typo
MAM02888	MAM02888c	selenocystathionine	CHEBI:27760	L-selenocystathionine	close-typo
MAM02895	MAM02895c	se-methyl-L-selenocysteine	CHEBI:9068	Se-methylselenocysteine	close-typo
MAM02951	MAM02951c	sulfoglycolithocholate	CHEBI:60007	sulfoglycolithocholate(2−)	close-typo
MAM02998	MAM02998c	thyroxine	CHEBI:18332	L-thyroxine	close-typo
MAM03232	MAM03232c	3-(3-Hydroxy-Phenyl)Propionate	CHEBI:57277	3-(3-hydroxyphenyl)propanoate	close-typo
MAM03590	MAM03590r	2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate	CHEBI:58756	2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)	close-typo
MAM03798	MAM03798r	W-Hydroxydocosanoicacid	CHEBI:76322	22-hydroxydocosanoic acid	close-typo
MAM20062	MAM20062n	3-O-acetyl-ADP-D-ribose	CHEBI:142723	3''-O-acetyl-ADP-D-ribose(2−)	close-typo
MAM20077	MAM20077n	2-O-acetyl-ADP-D-ribose	CHEBI:83767	2''-O-acetyl-ADP-D-ribose(2−)	close-typo
MAM20078	MAM20078m	2-(2-methyl-1-hydroxypropyl)thiamine diphosphate	CHEBI:48522	2-methyl-1-hydroxypropylthiamine diphosphate	close-typo
MAM20079	MAM20079m	2-(2-methyl-1-hydroxybutyl)thiamine diphosphate	CHEBI:29141	2-methyl-1-hydroxybutylthiamine diphosphate	close-typo
MAM20080	MAM20080m	2-(3-methyl-1-hydroxybutyl)thiamine diphosphate	CHEBI:29143	3-methyl-1-hydroxybutylthiamine diphosphate	close-typo
MAM20081	MAM20081m	2-(1-hydroxypropyl)thiamine diphosphate	CHEBI:190398	2-(alpha-Hydroxypropyl)thiamine diphosphate	close-typo
MAM00010	MAM00010c	(11Z,14Z,17Z)-eicosatrienoic acid	CHEBI:53460	all-cis-icosa-11,14,17-trienoic acid	far-check-id
MAM00014	MAM00014x	(13E)-tetranor-16-carboxy-LTE4	CHEBI:74057	(13E)-16-carboxy-Δ13-17,18,19,20-tetranor-leukotriene E4	far-check-id
MAM00075	MAM00075x	(2R)-pristanoyl-CoA	CHEBI:20067	3-hydroxybutyric acid	far-check-id
MAM00094	MAM00094c	(4Z,7Z,10Z,13Z,16Z)-DPA	CHEBI:65136	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoic acid	far-check-id
MAM00097	MAM00097e	(5-L-glutamyl)-L-amino acid	CHEBI:50619	γ-Glu-Ala	far-check-id
MAM00154	MAM00154r	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	CHEBI:53019	glycan G00008	far-check-id
MAM00167	MAM00167c	(R)-mevalonate	CHEBI:25351	mevalonic acid	far-check-id
MAM00196	MAM00196c	[protein]	CHEBI:16541	protein polypeptide chain	far-check-id
MAM00277	MAM00277c	11,12-DHET	CHEBI:84031	(5Z,8Z,14Z)-11,12-dihydroxyicosatrienoate	far-check-id
MAM00280	MAM00280c	11,14,15-THETA	CHEBI:137327	11,14,15-trihydroxy-(5Z,8Z,12E)-icosatrienoate(1−)	far-check-id
MAM00350	MAM00350c	13-cis-retinoate	CHEBI:6067	isotretinoin	far-check-id
MAM00614	MAM00614c	25(R)DHCA-CoA	CHEBI:15494	3α,7α-dihydroxy-5β-cholestan-26-oyl-CoA	far-check-id
MAM00616	MAM00616c	25(R)THCA-CoA	CHEBI:37642	(25R)-3α,7α,12α-trihydroxy-5β-cholestan-26-oyl-CoA	far-check-id
MAM00618	MAM00618x	25(S)THCA-CoA	CHEBI:37643	(25S)-3α,7α,12α-trihydroxy-5β-cholestanoyl-CoA	far-check-id
MAM00671	MAM00671c	2-oxobutyrate	CHEBI:30831	2-oxobutanoic acid	far-check-id
MAM00745	MAM00745c	3alpha,12alpha-dihydroxy-5beta-cholanate	CHEBI:28834	deoxycholic acid	far-check-id
MAM00767	MAM00767c	3-decaprenyl-4-hydroxybenzoate	CHEBI:84503	4-hydroxy-3-all-trans-decaprenylbenzoate	far-check-id
MAM00946	MAM00946c	4,6-dideoxy-4-oxo-dTDP-D-glucose	CHEBI:16620	dTDP-4-dehydro-6-deoxy-D-galactose	far-check-id
MAM00976	MAM00976c	4-cholesten-7alpha,12alpha,24(S)-triol-3-one	CHEBI:48714	7α,12α,24-trihydroxycholest-4-en-3-one	far-check-id
MAM00993	MAM00993c	4-hydroxy-all-trans-retinoate	CHEBI:63795	all-trans-4-hydroxyretinoic acid	far-check-id
MAM01044	MAM01044c	5,10-methenyl-THF	CHEBI:15638	(6R)-5,10-methenyltetrahydrofolic acid	far-check-id
MAM01069	MAM01069c	5-alpha-dihydrotestosterone	CHEBI:16330	17β-hydroxy-5α-androstan-3-one	far-check-id
MAM01100	MAM01100c	5-formyl-THF	CHEBI:209153	Oxisterigmatocystin D	far-check-id
MAM01113	MAM01113c	5-methoxytryptophol	CHEBI:114833	1-[5-(2-amino-5-methyl-4-thiazolyl)-2,3-dihydroindol-1-yl]-1-butanone	far-check-id
MAM01130	MAM01130c	5-phosphoribosyl-4-carboxy-5-aminoimidazole	CHEBI:28413	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid	far-check-id
MAM01132	MAM01132c	5-phosphoribosylformylglycinamidine	CHEBI:18413	2-formamido-N1-(5-phospho-D-ribosyl)acetamidine	far-check-id
MAM01133	MAM01133c	5-pp-inspP5	CHEBI:30164	5-diphospho-1D-myo-inositol pentakisphosphate	far-check-id
MAM01154	MAM01154c	6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline	CHEBI:110006	N-[[(4R,5S)-2-[(2R)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-8-(5-pyrimidinyl)-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-5-yl]methyl]-N-methylcyclohexanecarboxamide	far-check-id
MAM01235	MAM01235c	9-eicosenoic acid	CHEBI:32419	gadoleic acid	far-check-id
MAM01247	MAM01247c	A2PE	CHEBI:71980	N-retinylidene-N-retinylethanolamine	far-check-id
MAM01252	MAM01252c	acetate	CHEBI:15366	acetic acid	far-check-id
MAM01299	MAM01299c	aflatoxin B1-exo-8,9-epoxide-GSH	CHEBI:2505	8,9-dihydro-8-(S-glutathionyl)-9-hydroxyaflatoxin B1	far-check-id
MAM01305	MAM01305c	AIR	CHEBI:28843	5-amino-1-(5-phospho-D-ribosyl)imidazole	far-check-id
MAM01306	MAM01306c	AKG	CHEBI:30915	2-oxoglutaric acid	far-check-id
MAM01370	MAM01370c	aspartate	CHEBI:17053	L-aspartic acid	far-check-id
MAM01392	MAM01392c	beta-hydroxy-beta-methylbutyrate	CHEBI:37084	3-hydroxyisovaleric acid	far-check-id
MAM01398	MAM01398c	bilirubin-monoglucuronoside	CHEBI:16427	mono(glucosyluronic acid)bilirubin	far-check-id
MAM01414	MAM01414c	caffeate	CHEBI:16433	trans-caffeic acid	far-check-id
MAM01445	MAM01445c	cholate	CHEBI:16359	cholic acid	far-check-id
MAM01587	MAM01587c	citrate	CHEBI:30769	citric acid	far-check-id
MAM01607	MAM01607g	core 2	CHEBI:15876	β-D-galactosyl-1,3-(N-acetyl-β-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl group	far-check-id
MAM01608	MAM01608g	core 3	CHEBI:16250	N-acetyl-β-D-glucosaminyl-(1→3)-N-acetyl-D-galactosaminyl group	far-check-id
MAM01609	MAM01609g	core 4	CHEBI:16478	N-acetyl-β-D-glucosaminyl-1,6-(N-acetyl-β-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl group	far-check-id
MAM01620	MAM01620c	creatine-phosphate	CHEBI:58092	N-phosphocreatinate(2−)	far-check-id
MAM01631	MAM01631m	cytochrome-C	CHEBI:83739	ferroheme c di-L-cysteine(2−) residue	far-check-id
MAM01657	MAM01657c	dehydrodolichol-diphosphate	CHEBI:136960	ditrans,polycis-polyprenyl diphosphate(3−)	far-check-id
MAM01660	MAM01660c	dehydroepiandrosterone	CHEBI:220467	Wortmannine E	far-check-id
MAM01696	MAM01696c	dihomo-gamma-linolenate	CHEBI:53486	all-cis-icosa-8,11,14-trienoic acid	far-check-id
MAM01697	MAM01697c	dihomo-gamma-linolenoyl-CoA	CHEBI:27979	all-cis-icosa-8,11,14-trienoyl-CoA	far-check-id
MAM01706	MAM01706c	dimethylallyl-PP	CHEBI:16057	prenyl diphosphate	far-check-id
MAM01716	MAM01716c	D-lactate	CHEBI:42111	(R)-lactic acid	far-check-id
MAM01739	MAM01739c	dopaminochrome	CHEBI:27404	5,6-dihydroxyindole	far-check-id
MAM01765	MAM01765c	ebastine	CHEBI:211060	Xylariterpenoid K	far-check-id
MAM01798	MAM01798c	ethanolamine-phosphate	CHEBI:17553	O-phosphoethanolamine	far-check-id
MAM01806	MAM01806c	farnesyl-PP	CHEBI:17407	2-trans,6-trans-farnesyl diphosphate	far-check-id
