MetID	Name	Fromula	Charge	Comp	KEGG	PubChem	CHEBI	MetaCyc	MetaNetx
MAM20061c	epsilon-(gamma-L-Glutamyl)-L-lysine	C11H21N3O5	0	c	C21730	350078307	CHEBI:133752	CPD-20483	MNXM52422
MAM20061n	epsilon-(gamma-L-Glutamyl)-L-lysine	C11H21N3O5	0	n	C21730	350078307	CHEBI:133752	CPD-20483	MNXM52422
MAM01127n	5-oxoproline	C5H6NO3	-1	n	C01879	7405	CHEBI:18183	5-OXOPROLINE	MNXM964
MAM20071r	"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sphinganine"	C38H69NO3	0	r			CHEBI:85206		MNXM147177
MAM01362g	arachidonate	C20H31O2	-1	g			CHEBI:32395		MNXM1107770
MAM20071g	"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sphinganine"	C38H69NO3	0	g			CHEBI:85206		MNXM147177
MAM20070r	"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-(4R)-hydroxysphinganine"	C38H69NO4	0	r			CHEBI:85207		MNXM147175
MAM20070g	"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-(4R)-hydroxysphinganine"	C38H69NO4	0	g			CHEBI:85207		MNXM147175
MAM20068r	N-(11Z-eicosenoyl)-sphing-4-enine	C38H73NO3	0	r			CHEBI:85284		MNXM147168
MAM01584g	cis-gondoic acid	C20H37O2	-1	g			CHEBI:32426		MNXM1107952
MAM20068g	N-(11Z-eicosenoyl)-sphing-4-enine	C38H73NO3	0	g			CHEBI:85284		MNXM147168
MAM20069r	N-(11Z-eicosenoyl)-sphinganine	C38H75NO3	0	r			CHEBI:85285		MNXM147169
MAM20069g	N-(11Z-eicosenoyl)-sphinganine	C38H75NO3	0	g			CHEBI:85285		MNXM147169
MAM20067r	N-(11Z-eicosenoyl)-(4R)-hydroxysphinganine	C38H75NO4	0	r			CHEBI:85286		MNXM147167
MAM20067g	N-(11Z-eicosenoyl)-(4R)-hydroxysphinganine	C38H75NO4	0	g			CHEBI:85286		MNXM147167
MAM20073r	N-(9Z-octadecenoyl)-sphing-4-enine	C36H69NO3	0	r			CHEBI:77996		MNXM46121
