MetID	Name	Fromula	Charge	Comp	KEGG	PubChem	CHEBI	MetaCyc	MetaNetx
MAM02039n	H+	H	1	n			CHEBI:15378		MNXM1
MAM20001n	retinol	C20H30O		n			CHEBI:50211		MNXM729111
MAM20002n	retinal	C20H28O	0	n			CHEBI:15035		MNXM1105989
MAM02552n	NAD+	C21H26N7O14P2		n			CHEBI:57540		MNXM8
MAM02553n	NADH	C21H27N7O14P2	-2	n			CHEBI:57945		MNXM10
MAM02039c	H+	H	1	c			CHEBI:15378		MNXM1
MAM02552c	NAD+	C21H26N7O14P2		c			CHEBI:57540		MNXM8
MAM01232n	9-cis-retinol	C20H30O	0	n			CHEBI:78272		MNXM1102095
MAM01230n	9-cis-retinal	C20H28O	0	n			CHEBI:78273		MNXM1105991
MAM20003n	20-oxo-(5Z,8Z,11Z,14Z)-eicosatetraenoate	C20H29O3		n			CHEBI:76645		MNXM145653
MAM20004n	(5Z,8Z,11Z,14Z)-eicosatetraenedioate	C20H28O4		n			CHEBI:76647		MNXM23130
MAM20005c	20-oxo-(5Z,8Z,11Z,14Z)-eicosatetraenoate	C20H29O3		c			CHEBI:76645		MNXM145653
MAM20006c	(5Z,8Z,11Z,14Z)-eicosatetraenedioate	C20H28O4		c			CHEBI:76647		MNXM23130
MAM00270n	10-HETE	C20H31O3		n			CHEBI:76624		MNXM732711
MAM00270c	10-HETE	C20H31O3		c			CHEBI:76624		MNXM732711
MAM20007n	1,4-benzoquinone	C6H4O2		n			CHEBI:16509		MNXM740100
MAM20008n	hydroquinone	C6H6O2		n			CHEBI:17594		MNXM376
MAM20009c	1,4-benzoquinone	C6H4O2		c			CHEBI:16509		MNXM740100
MAM20010c	hydroquinone	C6H6O2		c			CHEBI:17594		MNXM376
MAM02833n	retinoate	C20H27O2	-1	n			CHEBI:35291		MNXM1107683
MAM02833c	retinoate	C20H27O2	-1	c			CHEBI:35291		MNXM1107683
MAM20011m	(S)-3-hydroxybutanoate	C4H7O3	-1	m			CHEBI:11047		MNXM1104966
MAM20012m	(R)-2-hydroxyglutarate	C5H6O5	-2	m			CHEBI:15801		MNXM733230
MAM01306m	AKG	C5H4O5		m			CHEBI:16810		MNXM20
MAM00970c	4-aminobutyrate	C4H9NO2		c			CHEBI:59888		MNXM192
MAM02674c	palmitate	C16H31O2	-1	c			CHEBI:7896		MNXM108
MAM20013c	octanal	C8H16O	0	c			CHEBI:17935		MNXM2705
MAM02642c	octanoic acid	C8H15O2		c			CHEBI:25646		MNXM750
MAM02039g	H+	H	1	g			CHEBI:15378		MNXM1
MAM20014g	15-oxoprostaglandin E2	C20H29O5		g			CHEBI:57400		MNXM1619
