# Date: 2018-12-15
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	notes
DM_12dhchol[c]	12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_13_cis_oretn_n_	13-cis-oxo-retinoate[n] => 13-cis-oxo-retinoate[x]	13-cis-oxo-retinoate[n] => 13-cis-oxo-retinoate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_13_cis_retn_n_	13-cis-retinoate[n] => 13-cis-retinoate[x]	13-cis-retinoate[n] => 13-cis-retinoate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_15HPET[n]	15(S)-HPETE[n] => 15(S)-HPETE[x]	15(S)-HPETE[n] => 15(S)-HPETE[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_15HPET[r]	15(S)-HPETE[r] => 15(S)-HPETE[x]	15(S)-HPETE[r] => 15(S)-HPETE[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_15HPET[x]	15(S)-HPETE[p] => 15(S)-HPETE[x]	15(S)-HPETE[p] => 15(S)-HPETE[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_1a2425thvitd2[m]	1-alpha,24R,25-trihydroxyvitamin D2[m] => 1-alpha,24R,25-trihydroxyvitamin D2[x]	1-alpha,24R,25-trihydroxyvitamin D2[m] => 1-alpha,24R,25-trihydroxyvitamin D2[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_1a25dhvitd3[n]	calcitriol[n] => calcitriol[x]	calcitriol[n] => calcitriol[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_3dhcdchol[c]	3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[x]	3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_3dhchol[c]	3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_3dhdchol[c]	3-dehydro-Deoxycholate[c] => 3-dehydro-Deoxycholate[x]	3-dehydro-Deoxycholate[c] => 3-dehydro-Deoxycholate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_3dhlchol[c]	3-dehydro-Lithocholate[c] => 3-dehydro-Lithocholate[x]	3-dehydro-Lithocholate[c] => 3-dehydro-Lithocholate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_4abut[c]	4-aminobutyrate[c] => 4-aminobutyrate[x]	4-aminobutyrate[c] => 4-aminobutyrate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
DM_4abut[n]	4-aminobutyrate[n] => 4-aminobutyrate[x]	4-aminobutyrate[n] => 4-aminobutyrate[x]	0.000000	0.000000	1000.000000	0.000000	sink/demand reactions were inactivated, and are scheduled for future DELETION
