# Date: 2018-10-19
metID	incorrectFormula	correctedFormula
m00553c	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m00553n	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m00560c	CC10FFH20LLLLNOO5PRR2UU	C10H20O5NPRR2CO
m00565c	C12ClH17N3O7S	C12H17ClN3O7S
m00567c	C2Cl2H4O2	C2H4Cl2O2
m00568c	C2Cl2H2O	C2H2Cl2O
m00571c	BrC16H22N3O7S	C16H22BrN3O7S
m00626c	CC11FH23LLNO2O4PRU	C11H23O4NPRCO2
m00626s	CC11FH23LLNO2O4PRU	C11H23O4NPRCO2
m00628c	CC5FFH9LLLLOO6PRR2UU	C5H9O6PRR2CO
m00636c	BrC2H3O	C2H3BrO
m00637c	BrC6H5O	C6H5BrO
m00656c	CC8FH19LLNO2O5PRU	C8H19NO5PRCO2
m00656l	CC8FH19LLNO2O5PRU	C8H19NO5PRCO2
m00656r	CC8FH19LLNO2O5PRU	C8H19NO5PRCO2
m00724c	BrC16H22N3O7S	C16H22BrN3O7S
m00744c	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m00744g	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m00744s	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m00779c	C17H33O2RS	C17H33O2SR
m00781c	C7H13O2RS	C7H13O2SR
m00791c	C9H17O2RS	C9H17O2SR
m00794c	C15H29O2RS	C15H29O2SR
m00796c	C5H9O2RS	C5H9O2SR
m00803c	C13H25O2RS	C13H25O2SR
m00805c	C11H21O2RS	C11H21O2SR
m00816c	C6H10NO5S2	C6H10O5S2N
m00816s	C6H10NO5S2	C6H10O5S2N
m00874c	C17H31O2RS	C17H31O2SR
m00876c	C7H11O2RS	C7H11O2SR
m00888c	C9H15O2RS	C9H15O2SR
m00896c	C15H27O2RS	C15H27O2SR
m00898c	C5H7O2RS	C5H7O2SR
m00908c	C13H23O2RS	C13H23O2SR
m00910c	C11H19O2RS	C11H19O2SR
m00972c	BrC6H3O2	C6H3BrO2
m00973c	BrC6H5O2	C6H5BrO2
m00974c	BrC6H5O	C6H5BrO
m00975c	BrC6H5O2	C6H5BrO2
m01143c	CCC15FFH28LLLLNO13O2O2PRR2UU	C15H28NO13PRCO2R2CO2
m01143r	CCC15FFH28LLLLNO13O2O2PRR2UU	C15H28NO13PRCO2R2CO2
m01244c	CC54FH90LLN3OO29RU	C54H90N3O29RCO
m01244g	CC54FH90LLN3OO29RU	C54H90N3O29RCO
m01244s	CC54FH90LLN3OO29RU	C54H90N3O29RCO
m01245c	CC65FH106LLN4OO37RU	C65H106N4O37RCO
m01245g	CC65FH106LLN4OO37RU	C65H106N4O37RCO
m01245s	CC65FH106LLN4OO37RU	C65H106N4O37RCO
m01262g	CC58FH102LLN3OO31RU	C58H102N3O31RCO
m01269c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01270c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01270m	C22H31N7O17P3RS	C22H31N7O17P3SR
m01271c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01272c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01273c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01274c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01275c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01275g	C22H31N7O17P3RS	C22H31N7O17P3SR
m01276c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01277c	C22H31N7O17P3RS	C22H31N7O17P3SR
m01278c	CC3FH4LLOO6PRU	C3H4O6PRCO
m01278p	CC3FH4LLOO6PRU	C3H4O6PRCO
m01310c	H2NR	NH2R
m01311c	CC4FH10LLO2O4PRU	C4H10O4PRCO2
m01311p	CC4FH10LLO2O4PRU	C4H10O4PRCO2
m01324c	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01324g	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01324l	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01361c	C62CoH93N13O15P	C62H93CoN13O15P
m01361s	C62CoH93N13O15P	C62H93CoN13O15P
m01391c	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01391g	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01391l	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m01403c	BrC6H5	C6H5Br
m01403s	BrC6H5	C6H5Br
m01404c	BrC6H7O2	C6H7BrO2
m01405c	BrC6H5O	C6H5BrO
m01406c	BrC6H7O2	C6H7BrO2
m01407c	BrC6H5O	C6H5BrO
m01409c	C4H5ORS	C4H5OSR
m01418c	C23H33O4	C23H33O4  
m01418m	C23H33O4	C23H33O4  
m01418s	C23H33O4	C23H33O4  
m01427c	CCC12FFH17LLLLN3O11O2O2P2RR2UU	C12H17N3O11P2RCO2R2CO2
m01427l	CCC12FFH17LLLLN3O11O2O2P2RR2UU	C12H17N3O11P2RCO2R2CO2
m01427r	CCC12FFH17LLLLN3O11O2O2P2RR2UU	C12H17N3O11P2RCO2R2CO2
m01430c	CC18FH36LLNOO2RU	C18H36NO2RCO
m01430g	CC18FH36LLNOO2RU	C18H36NO2RCO
m01430l	CC18FH36LLNOO2RU	C18H36NO2RCO
m01430r	CC18FH36LLNOO2RU	C18H36NO2RCO
m01431c	CC18FH35LLNOO5PRU	C18H35NO5PRCO
m01440c	C2Cl3H3O2	C2H3Cl3O2
m01441c	C2Cl3HO	C2HCl3O
m01443c	C2ClH2O2	C2H2ClO2
m01444c	C2Cl2H2O	C2H2Cl2O
m01451c	CC27FH45LLO2R2U	C27H45R2CO2
m01451l	CC27FH45LLO2R2U	C27H45R2CO2
m01451r	CC27FH45LLO2R2U	C27H45R2CO2
m01451s	CC27FH45LLO2R2U	C27H45R2CO2
m01589c	CCCCC9FFFFH16LLLLLLLLO2O2O2O2O9P2RRR2R2UUUU	C9H16O9P2RCO2R2CO2RCO2R2CO2
m01589m	CCCCC9FFFFH16LLLLLLLLO2O2O2O2O9P2RRR2R2UUUU	C9H16O9P2RCO2R2CO2RCO2R2CO2
m01598m	C62CoH88N13O14P	C62H88CoN13O14P
m01599c	C62CoH92N13O14P	C62H92CoN13O14P
m01599m	C62CoH92N13O14P	C62H92CoN13O14P
m01600m	C72CoH100N18O17P	C72H100CoN18O17P
m01631m	C42FeH44N8O8R4S2	C42H44FeN8O8S2R4
m01634c	C12H23O2RS	C12H23O2SR
m01635c	C6H11O2RS	C6H11O2SR
m01665r	CCC37FFH70LLLLN3O2O2O34P3RR2UUX	C37H70N3O34P3RCO2R2CO2X
m01665c	CCC37FFH70LLLLN3O2O2O34P3RR2UUX	C37H70N3O34P3RCO2R2CO2X
m01665s	CCC37FFH70LLLLN3O2O2O34P3RR2UUX	C37H70N3O34P3RCO2R2CO2X
m01679c	CC24FH46LLNOO7RU	C24H46NO7RCO
m01679g	CC24FH46LLNOO7RU	C24H46NO7RCO
m01679l	CC24FH46LLNOO7RU	C24H46NO7RCO
m01679r	CC24FH46LLNOO7RU	C24H46NO7RCO
m01687r	CCC39FFH76LLLLN4O2O2O37P4RR2UUX	C39H76N4O37P4RCO2R2CO2X
m01687c	CCC39FFH76LLLLN4O2O2O37P4RR2UUX	C39H76N4O37P4RCO2R2CO2X
m01687s	CCC39FFH76LLLLN4O2O2O37P4RR2UUX	C39H76N4O37P4RCO2R2CO2X
m01691c	C2Cl2H1O2	C2H1Cl2O2
m01692c	C2Cl3HO	C2HCl3O
m01694c	CC30FH56LLNOO12RU	C30H56NO12RCO
m01694g	CC30FH56LLNOO12RU	C30H56NO12RCO
m01694l	CC30FH56LLNOO12RU	C30H56NO12RCO
m01695c	CC30FH55LLNOO15RSU	C30H55NO15SRCO
m01695g	CC30FH55LLNOO15RSU	C30H55NO15SRCO
m01695s	CC30FH55LLNOO15RSU	C30H55NO15SRCO
m01699c	CC18FH38LLNOO2RU	C18H38NO2RCO
m01711c	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m01711g	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m01711s	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m01779r	CCC53FFH100LLLLN3O2O2O35P3RR2UU	C53H100N3O35P3RCO2R2CO2
m01780r	CCC53FFH100LLLLN3O2O2O35P3RR2UUX	C53H100N3O35P3RCO2R2CO2X
m01781r	CCC51FFH94LLLLN2O2O2O32P2RR2UU	C51H94N2O32P2RCO2R2CO2
m01782r	CCC53FFH100LLLLN3O2O2O35P3RR2UU	C53H100N3O35P3RCO2R2CO2
m01783r	CCC39FFH74LLLLN2O2O2O22P2RR2UU	C39H74N2O22P2RCO2R2CO2
m01818c	CC20FH29LLOOR2U	C20H29OR2CO
m01818s	CC20FH29LLOOR2U	C20H29OR2CO
m01824c	C42FeH54N8O6S2	C42H54FeN8O6S2
m01824m	C42FeH54N8O6S2	C42H54FeN8O6S2
m01826c	C42FeH54N8O6S2	C42H54FeN8O6S2
m01826m	C42FeH54N8O6S2	C42H54FeN8O6S2
m01838c	C12H17N4O6R3S	C12H17N4O6SR3
m01850c	CC64FH112LLN3OO35RU	C64H112N3O35RCO
m01850g	CC64FH112LLN3OO35RU	C64H112N3O35RCO
m01850s	CC64FH112LLN3OO35RU	C64H112N3O35RCO
m01851c	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m01851g	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m01851s	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m01852c	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01852g	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01852s	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01853c	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01853g	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01853s	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01854g	CC84FH145LLN4OO50RU	C84H145N4O50RCO
m01856g	CC84FH145LLN4OO50RU	C84H145N4O50RCO
m01859c	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01859g	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01859s	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01860c	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m01861c	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01861g	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01861s	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01874c	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01874s	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01880c	CC66FH115LLN4OO37RU	C66H115N4O37RCO
m01880g	CC66FH115LLN4OO37RU	C66H115N4O37RCO
m01883c	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01883s	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01884c	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01884s	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01887c	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01887s	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01904c	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01904g	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01905c	CC38FH69LLN2OO17RU	C38H69N2O17RCO
m01905g	CC38FH69LLN2OO17RU	C38H69N2O17RCO
m01912c	CC50FH89LLN2OO27RU	C50H89N2O27RCO
m01912g	CC50FH89LLN2OO27RU	C50H89N2O27RCO
m01914c	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01914g	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01914s	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01915c	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01915g	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01915s	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01916c	CC96FH165LLN4OO60RU	C96H165N4O60RCO
m01916g	CC96FH165LLN4OO60RU	C96H165N4O60RCO
m01916s	CC96FH165LLN4OO60RU	C96H165N4O60RCO
m01917c	CC54FH96LLNOO32RU	C54H96NO32RCO
m01917g	CC54FH96LLNOO32RU	C54H96NO32RCO
m01917s	CC54FH96LLNOO32RU	C54H96NO32RCO
m01918g	CC48FH86LLNOO27RU	C48H86NO27RCO
m01919c	CC64FH112LLN3OO37RU	C64H112N3O37RCO
m01919g	CC64FH112LLN3OO37RU	C64H112N3O37RCO
m01919s	CC64FH112LLN3OO37RU	C64H112N3O37RCO
m01920g	CC42FH76LLNOO22RU	C42H76NO22RCO
m01941c	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01941g	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01943c	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01943g	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01944c	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01944g	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01944s	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01945c	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01945g	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01945s	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01946c	CC60FH101LLN4OO33RU	C60H101N4O33RCO
m01946g	CC60FH101LLN4OO33RU	C60H101N4O33RCO
m01947c	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m01947g	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m01956g	CC58FH102LLN3OO32RU	C58H102N3O32RCO
m01959c	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01959g	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01959l	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01959s	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01960c	CC36FH66LLNOO17RU	C36H66NO17RCO
m01960g	CC36FH66LLNOO17RU	C36H66NO17RCO
m01960l	CC36FH66LLNOO17RU	C36H66NO17RCO
m01964c	CCC31FFH58LLLLNO14O2O2PRR2UU	C31H58NO14PRCO2R2CO2
m01964r	CCC31FFH58LLLLNO14O2O2PRR2UU	C31H58NO14PRCO2R2CO2
m01972c	CC24FH46LLNOO7RU	C24H46NO7RCO
m01972g	CC24FH46LLNOO7RU	C24H46NO7RCO
m01972l	CC24FH46LLNOO7RU	C24H46NO7RCO
m01972r	CC24FH46LLNOO7RU	C24H46NO7RCO
m01972s	CC24FH46LLNOO7RU	C24H46NO7RCO
m01999c	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m01999g	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m01999s	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02009g	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02010c	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02010g	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02014g	CC49FH85LLN3OO25RU	C49H85N3O25RCO
m02015c	CC41FH72LLN2OO20RU	C41H72N2O20RCO
m02015g	CC41FH72LLN2OO20RU	C41H72N2O20RCO
m02015l	CC41FH72LLN2OO20RU	C41H72N2O20RCO
m02018c	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02018g	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02018s	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02019c	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02019g	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02019s	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02020r	CCC55FFH106LLLLN4O2O2O38P4RR2UU	C55H106N4O38P4RCO2R2CO2
m02021r	CCC55FFH106LLLLN4O2O2O38P4RR2UUX	C55H106N4O38P4RCO2R2CO2X
m02023c	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02023g	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02023s	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02024c	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02024g	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02024s	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02025c	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02025g	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02028c	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02028g	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02028s	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02029c	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02029g	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02030c	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02030g	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02031c	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02031g	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02032c	CC71FH117LLN5OO41RU	C71H117N5O41RCO
m02032g	CC71FH117LLN5OO41RU	C71H117N5O41RCO
m02033c	CC63FH104LLN4OO36RU	C63H104N4O36RCO
m02033g	CC63FH104LLN4OO36RU	C63H104N4O36RCO
m02049c	C34FeH30N4O4	C34H30FeN4O4
m02049m	C34FeH30N4O4	C34H30FeN4O4
m02049s	C34FeH30N4O4	C34H30FeN4O4
m02099c	C17H33ORS	C17H33OSR
m02106c	C7H13ORS	C7H13OSR
m02129n	CH4X	CXH4
m02144c	ClH	HCl
m02164c	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m02164g	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m02164s	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m02195c	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02198c	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02198g	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02198s	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02199c	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02199g	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02199s	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02330g	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m02331c	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02331g	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02331s	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02346c	CC38FH69LLN2OO17RU	C38H69N2O17RCO
m02346g	CC38FH69LLN2OO17RU	C38H69N2O17RCO
m02347c	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m02347g	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m02397c	C8H13ORS3	C8H13OS3R
m02430r	CCC51FFH94LLLLN2O2O2O32P2RR2UU	C51H94N2O32P2RCO2R2CO2
m02431r	CCC43FFH78LLLLNO2O2O24PRR2UU	C43H78NO24PRCO2R2CO2
m02432r	CCC57FFH104LLLLN2O2O2O37P2RR2UU	C57H104N2O37P2RCO2R2CO2
m02433r	CCC49FFH88LLLLNO2O2O29PRR2UU	C49H88NO29PRCO2R2CO2
m02461r	CCC59FFH110LLLLN3O2O2O40P3RR2UU	C59H110N3O40P3RCO2R2CO2
m02462r	CCC59FFH110LLLLN3O2O2O40P3RR2UUX	C59H110N3O40P3RCO2R2CO2X
m02462c	CCC59FFH110LLLLN3O2O2O40P3RR2UUX	C59H110N3O40P3RCO2R2CO2X
m02462s	CCC59FFH110LLLLN3O2O2O40P3RR2UUX	C59H110N3O40P3RCO2R2CO2X
m02463r	CCC45FFH84LLLLN2O2O2O27P2RR2UU	C45H84N2O27P2RCO2R2CO2
m02472c	C11H17N4O5R3S	C11H17N4O5SR3
m02474c	AsCH4O3	CH4AsO3
m02483r	CCC37FFH68LLLLNO19O2O2PRR2UU	C37H68NO19PRCO2R2CO2
m02523c	CCC17FFH29LLLLNO14O2O2PRR2UU	C17H29NO14PRCO2R2CO2
m02523r	CCC17FFH29LLLLNO14O2O2PRR2UU	C17H29NO14PRCO2R2CO2
m02593c	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m02593g	CC52FH92LLN3OO27RU	C52H92N3O27RCO
m02594c	CC58FH102LLN3OO32RU	C58H102N3O32RCO
m02594g	CC58FH102LLN3OO32RU	C58H102N3O32RCO
m02595c	CC66FH115LLN4OO37RU	C66H115N4O37RCO
m02595g	CC66FH115LLN4OO37RU	C66H115N4O37RCO
m02596c	CC72FH125LLN4OO42RU	C72H125N4O42RCO
m02596g	CC72FH125LLN4OO42RU	C72H125N4O42RCO
m02615c	C9H17ORS	C9H17OSR
m02629c	CC7FFH14LLLLNOO5PRR2UU	C7H14O5NPRR2CO
m02684c	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02684g	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02684l	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02684r	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02684s	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02685c	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02685g	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02685l	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02685m	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02685r	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02685s	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02687c	C15H29ORS	C15H29OSR
m02693c	C5H9ORS	C5H9OSR
m02703c	C6H10N2O3R2S	C6H10N2O3SR2
m02704c	C6H10N2O2R2S	C6H10N2O2SR2
m02715m	CCC6FFH12LLLLO2O2O6PRR2UU	C6H12O6PRCO2R2CO2
m02717m	CCC6FFH11LLLLO2O2O9P2RR2UU	C6H11O9P2RCO2R2CO2
m02733c	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m02733r	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m02734c	CCC9FFH13LLLLO18O2O2P4RR2UU	C9H13O18P4RCO2R2CO2
m02734n	CCC9FFH13LLLLO18O2O2P4RR2UU	C9H13O18P4RCO2R2CO2
m02735c	CCC9FFH14LLLLO15O2O2P3RR2UU	C11H14O19P3R2
m02735r	CCC9FFH14LLLLO15O2O2P3RR2UU	C11H14O19P3R2
m02736c	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02736n	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02750c	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02750g	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02750l	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02750n	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02750r	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02773c	C3H5ORS	C3H5OSR
m02808c	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02808l	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02808r	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02850c	C12Cl2H16N3O6S	C12H16Cl2N3O6S
m02853c	C12Cl2H19N3O7S	C12H19Cl2N3O7S
m02854c	C12ClH17N3O7S	C12H17ClN3O7S
m02887c	O3Se	SeO3
m02901c	C23Cl2H25N3O9S	C23H25Cl2N3O9S
m02901s	C23Cl2H25N3O9S	C23H25Cl2N3O9S
m02902c	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02902g	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02902s	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02903c	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02903g	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02903s	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02904c	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02904g	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02905g	CC61FH105LLN3OO35RU	C61H105N3O35RCO
m02908c	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m02908g	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m02908l	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m02908r	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m02918c	C20H36N2O3R2S	C20H36N2O3SR2
m02947c	CC24FH45LLNOO10RSU	C24H45NO10SRCO
