# Date: 2019-09-24
mets	nameOrig	nameNew	formulaOrig	formulaNew	chargeOrig	chargeNew	notes
chylo_hs_x	(ADDED)	Chylomicron Lipoprotein		X	0	0	Boundary compartment version of metabolite added to enable the addition of an exchange reaction.
m00591x	(ADDED)	20-hydroxy-arachidonate		C20H31O3	0	-1	Boundary compartment version of metabolite added to enable the addition of an exchange reaction.
m01435x	(ADDED)	chenodiol		C24H39O4	0	-1	Boundary compartment version of metabolite added to enable the addition of an exchange reaction.
m02328x	(ADDED)	LacCer pool		C31H56NO13R	0	0	Boundary compartment version of metabolite added to enable the addition of an exchange reaction.
m10000s	(ADDED)	others			0	0	Extracellular version of metabolite added to enable the addition of an exchange reaction.
m10000x	(ADDED)	others			0	0	Updated "temp" metabolite IDs.
m10001s	(ADDED)	steroids			0	0	Extracellular version of metabolite added to enable the addition of an exchange reaction.
m10001x	(ADDED)	steroids			0	0	Updated "temp" metabolite IDs.
m10002s	(ADDED)	xenobiotics			0	0	Extracellular version of metabolite added to enable the addition of an exchange reaction.
m10002x	(ADDED)	xenobiotics			0	0	Updated "temp" metabolite IDs.
m10003s	(ADDED)	arachidonate derivatives			0	0	Extracellular version of metabolite added to enable the addition of an exchange reaction.
m10003x	(ADDED)	arachidonate derivatives			0	0	Updated "temp" metabolite IDs.
temp002x	others	(DELETED)			0	0	Updated "temp" metabolite IDs.
temp003x	steroids	(DELETED)			0	0	Updated "temp" metabolite IDs.
temp004x	xenobiotics	(DELETED)			0	0	Updated "temp" metabolite IDs.
temp005x	arachidonate derivatives	(DELETED)			0	0	Updated "temp" metabolite IDs.
