# Date: 2019-02-08
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	notes
HMR_0792	D-galactosyl-N-acylsphingosine[l] + PAPS[l] => PAP[l] + sulfatide[l]	D-galactosyl-N-acylsphingosine[l] + PAPS[l] => H+[l] + PAP[l] + sulfatide[l]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_0915	PAPS[c] + psychosine[c] <=> PAP[c] + psychosine sulfate[c]	PAPS[c] + psychosine[c] <=> H+[c] + PAP[c] + psychosine sulfate[c]	-1000.000000	-1000.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1729	chenodiol[c] + H+[c] + PAPS[c] => PAP[c] + sulfochenodeoxycholate[c]	chenodiol[c] + PAPS[c] => H+[c] + PAP[c] + sulfochenodeoxycholate[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1843	PAPS[c] + taurolithocholate[c] <=> PAP[c] + sulfotaurolithocholate[c]	PAPS[c] + taurolithocholate[c] <=> H+[c] + PAP[c] + sulfotaurolithocholate[c]	-1000.000000	-1000.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1919	cholesterol[c] + PAPS[c] => cholesterol-sulfate[c] + PAP[c]	cholesterol[c] + PAPS[c] => cholesterol-sulfate[c] + H+[c] + PAP[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1952	PAPS[c] + pregnenolone[c] => PAP[c] + pregnenolone sulfate[c]	PAPS[c] + pregnenolone[c] => H+[c] + PAP[c] + pregnenolone sulfate[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1962	17alpha-hydroxypregnenolone[c] + PAPS[c] => 17alpha-hydroxypregnenolone sulfate[c] + PAP[c]	17alpha-hydroxypregnenolone[c] + PAPS[c] => 17alpha-hydroxypregnenolone sulfate[c] + H+[c] + PAP[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_1969	dehydroepiandrosterone[c] + PAPS[c] => dehydroepiandrosterone sulfate[c] + PAP[c]	dehydroepiandrosterone[c] + PAPS[c] => dehydroepiandrosterone sulfate[c] + H+[c] + PAP[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_2037	estrone[c] + PAPS[c] => estrone 3-sulfate[c] + PAP[c]	estrone[c] + PAPS[c] => estrone 3-sulfate[c] + H+[c] + PAP[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
HMR_4186	adenylyl sulfate[c] + ATP[c] => ADP[c] + PAPS[c]	adenylyl sulfate[c] + ATP[c] => ADP[c] + H+[c] + PAPS[c]	0.000000	0.000000	1000.000000	1000.000000	proton balancing for the reactions with updated PAPS formulas
