# Date: 2019-09-24
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	grRuleOrig	grRuleNew	notes
HMR_10025	(ADDED)	20-hydroxy-arachidonate[s] <=> 20-hydroxy-arachidonate[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10026	(ADDED)	chenodiol[s] <=> chenodiol[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10027	(ADDED)	LacCer pool[s] <=> LacCer pool[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10028	(ADDED)	Chylomicron Lipoprotein[s] <=> Chylomicron Lipoprotein[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10029	(ADDED)	steroids[s] <=> steroids[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10030	(ADDED)	xenobiotics[s] <=> xenobiotics[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10031	(ADDED)	arachidonate derivatives[s] <=> arachidonate derivatives[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_10032	(ADDED)	others[s] <=> others[x]	0.000000	-1000.000000	0.000000	1000.000000			New exchange reaction to facilitate transport of metabolite between boundadry and extracellular compartment.
HMR_9736	cholesterol-ester pool[l] <=> cholesterol-ester pool[x]	(DELETED)	-1000.000000	0.000000	1000.000000	0.000000			Reaction is redundant and involves transport between lysosome and boundary, and was therefore DELETED.
arachidonates	(11R)-HPETE[c] + (13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c] + (13E)-tetranor-16-carboxy-LTE4[p] + (18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c] + 10,11-dihydro-12R-hydroxy-LTC4[c] + 10,11-dihydro-12R-hydroxy-LTC4[m] + 10,11-dihydro-12R-hydroxy-LTC4[p] + 10-HETE[c] + 10-HETE[r] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[c] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[r] + 11,12,15-THETA[c] + 11,12-DHET[c] + 11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate[c] + 11,14,15-THETA[c] + 11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[m] + 11beta-hydroxyandrost-4-ene-3,17-dione[r] + 11-dehydro-thromboxane B2[c] + 11-HETE[c] + 11-HpODE[c] + 11-trans-LTE4[c] + 12(R)-HPETE[c] + 12(S)-HHT[c] + 12,20-diHETE[c] + 12,20-diHETE[r] + 12,20-dioxo-LTB4[c] + 12-epi-LTB4[c] + 12-hetre[c] + 12-hydroperoxyeicosatetraenoate-glyceryl-ester[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[r] + 12-hydroxy-arachidonate[r] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[c] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[r] + 12-oxo-10,11-dihydro-20-COOH-LTB4[c] + 12-oxo-10,11-dihydro-20-COOH-LTB4[r] + 12-oxo-c-LTB3[r] + 12-oxoETE[c] + 13(S)-HODE[c] + 13,14-dihydro-15-keto-PGD2[c] + 13,14-dihydro-lipoxin A4[c] + 13-cis-retinoyl-beta-D-glucuronide[r] + 13-HETE[c] + 14,15-DHET[c] + 14,15-EET[r] + 15(S)-HEPE[c] + 15(S)-HETrE[c] + 15-deoxy-delta-12,14-PGD2[c] + 15-deoxy-delta-12,14-PGJ2[c] + 15-deoxy-PGD2[c] + 15-epi-lipoxin A4[c] + 15-epi-lipoxin A4[p] + 15-epi-lipoxin A4[r] + 15-epi-lipoxin A5[c] + 15-epi-lipoxin A5[p] + 15-epi-lipoxin A5[r] + 15-epi-lipoxin B4[c] + 15-epi-lipoxin B4[p] + 15-epi-lipoxin B4[r] + 15-epi-lipoxin B5[c] + 15-epi-lipoxin B5[p] + 15-epi-lipoxin B5[r] + 15-keto-prostaglandin F2alpha[c] + 15-oxo-prostaglandin E2-glyceryl ester[c] + 16(R)-HETE[c] + 16,18-oxo-18-CoA-dinor-LTE4[p] + 17-HETE[c] + 18-COOH-LTB4[m] + 18-COOH-LTE4[p] + 18-HETE[c] + 18-hydroxy-arachidonate[r] + 19(S)-HETE[c] + 20-hydroxy-5S-HETE[c] + 20-hydroxy-LTB5[c] + 20-hydroxy-LTB5[r] + 20-OH-hepoxilin A3[c] + 20-OH-hepoxilin A3[r] + 20-trihydroxy-LTB4[c] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[m] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[p] + 5(S),6(S)-epoxy-15(R)-HEPE[n] + 5(S)-HEPE[p] + 5(S)-HpEPE[n] + 5,12,18R-TriHEPE[c] + 5,12,20-TriHETE[c] + 5,12-dihydroxy-(6E)-LTB5[c] + 5,15-DiHETE[c] + 5,6-DHET[c] + 5,6-EET[r] + 5,6-epoxy-(8Z)-tetradecenoic acid[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 6,7-dihydro-12-epi-LTB4[c] + 6,7-dihydro-12-epi-LTB4[m] + 6,7-dihydro-12-epi-LTB4[p] + 6,7-dihydro-LTB4[c] + 6,7-dihydro-LTB4[m] + 6,7-dihydro-LTB4[p] + 6,7-dihydro-LTB4[r] + 6-oxo-prostaglandin E1[c] + 6-oxo-prostaglandin F1alpha[r] + 6-trans-12-epi-LTB4[c] + 6-trans-12-epi-LTB4[m] + 6-trans-12-epi-LTB4[p] + 6-trans-LTB4[c] + 6-trans-LTB4[m] + 6-trans-LTB4[p] + 7-HETE[c] + 8(S)-HETE[c] + 8,9-DHET[c] + 8,9-EET[r] + 8,9-epoxy-(5Z)-tetradecenoic acid[c] + 8-HETE[c] + 9-HETE[c] + hepoxilin A3-c[c] + hepoxilin A3-c[p] + leukotriene D5[c] + lipoxin A4[n] + lipoxin A4[p] + lipoxin A4[r] + lipoxin B4[p] + lipoxin B4[r] + malonic-dialdehyde[c] + N-acetyl-LTE4[c] + N-acetyl-LTE4[n] + omega-carboxy-trinor-LTB4[m] + omega-carboxy-trinor-LTB4[p] + prostaglandin E2[r] + prostaglandin E3[n] + prostaglandin H1[r] + prostaglandin J2[r] + prostaglandin-PGB2-glyceryl ester[c] + prostaglandin-PGE2-1-glyceryl ester[c] + prostaglandin-PGE2-3-glyceryl ester[c] + S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione[c] + S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione[c] + S-(PGA1)-glutathione[c] + S-(PGA2)-glutathione[c] + S-(PGJ2)-glutathione[c] + trioxilin A3[c] + trioxilin A3[p] + trioxilin A3[r] + trioxilin B3[c] => arachidonate derivatives[x]	(11R)-HPETE[c] + (13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c] + (13E)-tetranor-16-carboxy-LTE4[p] + (18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c] + 10,11-dihydro-12R-hydroxy-LTC4[c] + 10,11-dihydro-12R-hydroxy-LTC4[m] + 10,11-dihydro-12R-hydroxy-LTC4[p] + 10-HETE[c] + 10-HETE[r] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[c] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[r] + 11,12,15-THETA[c] + 11,12-DHET[c] + 11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate[c] + 11,14,15-THETA[c] + 11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[m] + 11beta-hydroxyandrost-4-ene-3,17-dione[r] + 11-dehydro-thromboxane B2[c] + 11-HETE[c] + 11-HpODE[c] + 11-trans-LTE4[c] + 12(R)-HPETE[c] + 12(S)-HHT[c] + 12,20-diHETE[c] + 12,20-diHETE[r] + 12,20-dioxo-LTB4[c] + 12-epi-LTB4[c] + 12-hetre[c] + 12-hydroperoxyeicosatetraenoate-glyceryl-ester[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[r] + 12-hydroxy-arachidonate[r] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[c] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[r] + 12-oxo-10,11-dihydro-20-COOH-LTB4[c] + 12-oxo-10,11-dihydro-20-COOH-LTB4[r] + 12-oxo-c-LTB3[r] + 12-oxoETE[c] + 13(S)-HODE[c] + 13,14-dihydro-15-keto-PGD2[c] + 13,14-dihydro-lipoxin A4[c] + 13-cis-retinoyl-beta-D-glucuronide[r] + 13-HETE[c] + 14,15-DHET[c] + 14,15-EET[r] + 15(S)-HEPE[c] + 15(S)-HETrE[c] + 15-deoxy-delta-12,14-PGD2[c] + 15-deoxy-delta-12,14-PGJ2[c] + 15-deoxy-PGD2[c] + 15-epi-lipoxin A4[c] + 15-epi-lipoxin A4[p] + 15-epi-lipoxin A4[r] + 15-epi-lipoxin A5[c] + 15-epi-lipoxin A5[p] + 15-epi-lipoxin A5[r] + 15-epi-lipoxin B4[c] + 15-epi-lipoxin B4[p] + 15-epi-lipoxin B4[r] + 15-epi-lipoxin B5[c] + 15-epi-lipoxin B5[p] + 15-epi-lipoxin B5[r] + 15-keto-prostaglandin F2alpha[c] + 15-oxo-prostaglandin E2-glyceryl ester[c] + 16(R)-HETE[c] + 16,18-oxo-18-CoA-dinor-LTE4[p] + 17-HETE[c] + 18-COOH-LTB4[m] + 18-COOH-LTE4[p] + 18-HETE[c] + 18-hydroxy-arachidonate[r] + 19(S)-HETE[c] + 20-hydroxy-5S-HETE[c] + 20-hydroxy-LTB5[c] + 20-hydroxy-LTB5[r] + 20-OH-hepoxilin A3[c] + 20-OH-hepoxilin A3[r] + 20-trihydroxy-LTB4[c] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[m] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[p] + 5(S),6(S)-epoxy-15(R)-HEPE[n] + 5(S)-HEPE[p] + 5(S)-HpEPE[n] + 5,12,18R-TriHEPE[c] + 5,12,20-TriHETE[c] + 5,12-dihydroxy-(6E)-LTB5[c] + 5,15-DiHETE[c] + 5,6-DHET[c] + 5,6-EET[r] + 5,6-epoxy-(8Z)-tetradecenoic acid[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 6,7-dihydro-12-epi-LTB4[c] + 6,7-dihydro-12-epi-LTB4[m] + 6,7-dihydro-12-epi-LTB4[p] + 6,7-dihydro-LTB4[c] + 6,7-dihydro-LTB4[m] + 6,7-dihydro-LTB4[p] + 6,7-dihydro-LTB4[r] + 6-oxo-prostaglandin E1[c] + 6-oxo-prostaglandin F1alpha[r] + 6-trans-12-epi-LTB4[c] + 6-trans-12-epi-LTB4[m] + 6-trans-12-epi-LTB4[p] + 6-trans-LTB4[c] + 6-trans-LTB4[m] + 6-trans-LTB4[p] + 7-HETE[c] + 8(S)-HETE[c] + 8,9-DHET[c] + 8,9-EET[r] + 8,9-epoxy-(5Z)-tetradecenoic acid[c] + 8-HETE[c] + 9-HETE[c] + hepoxilin A3-c[c] + hepoxilin A3-c[p] + leukotriene D5[c] + lipoxin A4[n] + lipoxin A4[p] + lipoxin A4[r] + lipoxin B4[p] + lipoxin B4[r] + malonic-dialdehyde[c] + N-acetyl-LTE4[c] + N-acetyl-LTE4[n] + omega-carboxy-trinor-LTB4[m] + omega-carboxy-trinor-LTB4[p] + prostaglandin E2[r] + prostaglandin E3[n] + prostaglandin H1[r] + prostaglandin J2[r] + prostaglandin-PGB2-glyceryl ester[c] + prostaglandin-PGE2-1-glyceryl ester[c] + prostaglandin-PGE2-3-glyceryl ester[c] + S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione[c] + S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione[c] + S-(PGA1)-glutathione[c] + S-(PGA2)-glutathione[c] + S-(PGJ2)-glutathione[c] + trioxilin A3[c] + trioxilin A3[p] + trioxilin A3[r] + trioxilin B3[c] => arachidonate derivatives[s]	0.000000	0.000000	1000.000000	1000.000000			updated reaction to generate pool metabolite in extracellular, to avoid transport between non-extracellular compartments and the boundary.
