# Date: 2019-11-22
mets	nameOrig	nameNew	formulaOrig	formulaNew	chargeOrig	chargeNew	notes
1531tacr_c	15, 31-O-Didesmethyl-tacrolimus	15,31-O-Didesmethyl-tacrolimus	C42H65NO12	C42H65NO12	0	0	Added dash to name to avoid confusion with stoich coeffs
1531tacr_r	15, 31-O-Didesmethyl-tacrolimus	15,31-O-Didesmethyl-tacrolimus	C42H65NO12	C42H65NO12	0	0	Added dash to name to avoid confusion with stoich coeffs
1531tacr_s	15, 31-O-Didesmethyl-tacrolimus	15,31-O-Didesmethyl-tacrolimus	C42H65NO12	C42H65NO12	0	0	Added dash to name to avoid confusion with stoich coeffs
1531tacr_x	15, 31-O-Didesmethyl-tacrolimus	15,31-O-Didesmethyl-tacrolimus	C42H65NO12	C42H65NO12	0	0	Added dash to name to avoid confusion with stoich coeffs
1glyc_hs_s	1 Acyl Phosphoglycerol	1-Acyl Phosphoglycerol	C6H13O7PRCO2	C6H13O7PRCO2	-1	-1	Added dash to name to avoid confusion with stoich coeffs
1glyc_hs_x	1 Acyl Phosphoglycerol	1-Acyl Phosphoglycerol	C6H13O7PRCO2	C6H13O7PRCO2	-1	-1	Added dash to name to avoid confusion with stoich coeffs
3hpppnohgluc_c	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	C15H16O9	C15H16O10	-2	-2	
3hpppnohgluc_s	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	C15H16O9	C15H16O10	-2	-2	
3hpppnohgluc_x	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	C15H16O9	C15H16O10	-2	-2	
3hpvscoa_c	3'-S-hydroxy-pravastatin-CoA	3'-S-hydroxy-pravastatin-CoA	C44H67N7NaO24P3S	C44H66N7NaO23P3S	-3	-4	
3hpvscoa_m	3'-S-hydroxy-pravastatin-CoA	3'-S-hydroxy-pravastatin-CoA	C44H67N7NaO24P3S	C44H66N7NaO23P3S	-3	-4	
3hpvscoa_p	3'-S-hydroxy-pravastatin-CoA	3'-S-hydroxy-pravastatin-CoA	C44H67N7NaO24P3S	C44H66N7NaO23P3S	-3	-4	
9_cis_retfa_c	Fatty Acid 9-Cis-Retinol	Fatty Acid 9-Cis-Retinol	C20H29OR2CO	C21H29O2R	0	0	
9_cis_retfa_s	Fatty Acid 9-Cis-Retinol	Fatty Acid 9-Cis-Retinol	C20H29OR2CO	C21H29O2R	0	0	
9_cis_retfa_x	Fatty Acid 9-Cis-Retinol	Fatty Acid 9-Cis-Retinol	C20H29OR2CO	C21H29O2R	0	0	
CN0019_c	Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide	Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide	X	C24H14O3	0	0	
CN0019_r	Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide	Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide	X	C24H14O3	0	0	
HC01988_c	Stearoyl-ACP	Stearoyl-ACP	X	C29H55N2O8PRS	0	-1	
HC02097_c	3-Oxostearoyl-ACP	3-Oxostearoyl-ACP	X	C29H53N2O9PRS	0	-1	
HC02098_c	3-Hydroxystearoyl-ACP	3-Hydroxystearoyl-ACP	C18H35O2SR	C29H55N2O9PSR	0	-1	
HC02099_c	(2E)-Octadecenoyl-ACP	(2E)-Octadecenoyl-ACP	C18H33OSR	C29H53N2O8PSR	0	-1	
Tyr_ggn_c	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	XOH	C1779H2725N455O528S14	0	0	
Tyr_ggn_s	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	XOH	C1779H2725N455O528S14	0	0	
Tyr_ggn_x	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis)	XOH	C1779H2725N455O528S14	0	0	
acmpglut_c	acetaminophen-glutathione-conjugate	acetaminophen-glutathione-conjugate	C19H26N4O7S	C18H27N4O10S	0	0	
acmpglut_r	acetaminophen-glutathione-conjugate	acetaminophen-glutathione-conjugate	C19H26N4O7S	C18H27N4O10S	0	0	
acmpglut_s	acetaminophen-glutathione-conjugate	acetaminophen-glutathione-conjugate	C19H26N4O7S	C18H27N4O10S	0	0	
acmpglut_x	acetaminophen-glutathione-conjugate	acetaminophen-glutathione-conjugate	C19H26N4O7S	C18H27N4O10S	0	0	
alkylR1oh_p	Hydroxy Alkyl Chain	Hydroxy Alkyl Chain	C2H5OR	HOR	0	0	
alpa_hs_c	Lysophosphatidic Acid	Lysophosphatidic Acid	C3H4O5PRCO2	C3H6O5PRCO2	-2	-2	
alpa_hs_m	Lysophosphatidic Acid	Lysophosphatidic Acid	C3H4O5PRCO2	C3H6O5PRCO2	-2	-2	
alpa_hs_p	Lysophosphatidic Acid	Lysophosphatidic Acid	C3H4O5PRCO2	C3H6O5PRCO2	-2	-2	
chito2pdol_U_c	N,N-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog	(DELETED)	C1185H1940N20O170P20		-20	0	metabolite is a duplicate and was therefore removed
dedol_U_c	Dehydrodolichol, Human Uterine Homolog	(DELETED)	C1025H1660O10		0	0	metabolite is a duplicate and was therefore removed
dedoldp_U_c	Dehydrodolichol Diphosphate, Human Uterine Homolog	(DELETED)	C1025H1650O70P20		-30	0	metabolite is a duplicate and was therefore removed
dedolp_U_c	Dehydrodolichol Phosphate, Human Uterine Homolog	(DELETED)	C1025H1650O40P10		-20	0	metabolite is a duplicate and was therefore removed
dmhptcoa_m	2,6 Dimethylheptanoyl Coenzyme A	2,6-Dimethylheptanoyl Coenzyme A	C30H52N7O17P3S	C30H48N7O17P3S	-4	-4	Added dash to name to avoid confusion with stoich coeffs
dmnoncoa_c	4,8 Dimethylnonanoyl Coenzyme A	4,8-Dimethylnonanoyl Coenzyme A	C32H54N7O17P3S	C32H52N7O17P3S	-4	-4	Added dash to name to avoid confusion with stoich coeffs
dmnoncoa_m	4,8 Dimethylnonanoyl Coenzyme A	4,8-Dimethylnonanoyl Coenzyme A	C32H54N7O17P3S	C32H52N7O17P3S	-4	-4	Added dash to name to avoid confusion with stoich coeffs
dmnoncoa_p	4,8 Dimethylnonanoyl Coenzyme A	4,8-Dimethylnonanoyl Coenzyme A	C32H54N7O17P3S	C32H52N7O17P3S	-4	-4	Added dash to name to avoid confusion with stoich coeffs
doldp_U_r	Dolichol Diphosphate, Human Uterine Homolog	(DELETED)	C1025H1670O70P20		-30	0	metabolite is a duplicate and was therefore removed
dolglcp_U_c	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog	(DELETED)	C1085H1780O90P10		-10	0	metabolite is a duplicate and was therefore removed
dolglcp_U_r	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog	(DELETED)	C1085H1780O90P10		-10	0	metabolite is a duplicate and was therefore removed
dolichol_U_c	Dolichol, Human Uterine Homolog	(DELETED)	C1025H1680O10		0	0	metabolite is a duplicate and was therefore removed
dolichol_U_r	Dolichol, Human Uterine Homolog	(DELETED)	C1025H1680O10		0	0	metabolite is a duplicate and was therefore removed
dolmanp_U_c	Dolichyl Phosphate D-Mannose, Human Uterine Homolog	(DELETED)	C1085H1780O90P10		-10	0	metabolite is a duplicate and was therefore removed
dolmanp_U_r	Dolichyl Phosphate D-Mannose, Human Uterine Homolog	(DELETED)	C1085H1780O90P10		-10	0	metabolite is a duplicate and was therefore removed
dolp_U_c	Dolichyl Phosphate	(DELETED)	C1025H1670O40P10		-20	0	metabolite is a duplicate and was therefore removed
dolp_U_r	Dolichyl Phosphate	(DELETED)	C1025H1670O40P10		-20	0	metabolite is a duplicate and was therefore removed
g1m8mpdol_U_r	Alpha-D-Glucosyl-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog	(DELETED)	C1785H2940N20O670P20		-20	0	metabolite is a duplicate and was therefore removed
g2m8mpdol_U_r	(Alpha-D-Glucosyl)2-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog	(DELETED)	C1845H3040N20O720P20		-20	0	metabolite is a duplicate and was therefore removed
g3m8mpdol_U_r	(Alpha-D-Glucosyl)3-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog	(DELETED)	C1905H3140N20O770P20		-20	0	metabolite is a duplicate and was therefore removed
gda1_hs_n	Gda1 Hs	(DELETED)	X		0	0	metabolite is a duplicate and was therefore removed
glygn4_s	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	C18H31O16X	C1797H2755N455O543S14	0	0	
glygn4_x	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	C18H31O16X	C1797H2755N455O543S14	0	0	
glygn5_s	Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])	Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])	C12H21O11X	C1791H2745N455O538S14	0	0	
glygn5_x	Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])	Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])	C12H21O11X	C1791H2745N455O538S14	0	0	
gm2_hs_c	N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion	(DELETED)	C49H85N3O25RCO		-1	0	metabolite is a duplicate and was therefore removed
gm2_hs_g	N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion	(DELETED)	C49H85N3O25RCO		-1	0	metabolite is a duplicate and was therefore removed
gm2_hs_l	N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion	(DELETED)	C49H85N3O25RCO		-1	0	metabolite is a duplicate and was therefore removed
gm2_hs_s	N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion	(DELETED)	C49H85N3O25RCO		-1	0	metabolite is a duplicate and was therefore removed
gm2_hs_x	N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion	(DELETED)	C49H85N3O25RCO		-1	0	metabolite is a duplicate and was therefore removed
hpdece_c	Trans-Delta-2-Heptadecanoic Acid	Trans-Delta-2-Heptadecanoic Acid	C15H27O2	C17H31O2	-1	-1	
hpdece_m	Trans-Delta-2-Heptadecanoic Acid	Trans-Delta-2-Heptadecanoic Acid	C15H27O2	C17H31O2	-1	-1	
hpdece_s	Trans-Delta-2-Heptadecanoic Acid	Trans-Delta-2-Heptadecanoic Acid	C15H27O2	C17H31O2	-1	-1	
hpdece_x	Trans-Delta-2-Heptadecanoic Acid	Trans-Delta-2-Heptadecanoic Acid	C15H27O2	C17H31O2	-1	-1	
hpdececoa_m	Trans-Delta-2-Heptadecanoyl Coenzyme A	Trans-Delta-2-Heptadecanoyl Coenzyme A	C36H58N7O17P3S	C38H62N7O17P3S	-4	-4	
m00038c	(2E)-decenoyl-[ACP]	(2E)-decenoyl-[ACP]	C10H17OSR	C21H37N2O8PRS	0	-1	
m00041c	(2E)-dodecenoyl-[ACP]	(2E)-dodecenoyl-[ACP]	C12H21OSR	C23H41N2O8PRS	0	-1	
m00045c	(2E)-heptadecenoyl-[ACP]	(2E)-heptadecenoyl-[ACP]	C17H31OSR	C28H51N2O8PRS	0	-1	
m00047c	(2E)-heptenoyl-[ACP]	(2E)-heptenoyl-[ACP]	C7H11OSR	C18H31N2O8PRS	0	-1	
m00050c	(2E)-hexadecenoyl-[ACP]	(2E)-hexadecenoyl-[ACP]	C16H29OSR	C27H49N2O8PRS	0	-1	
m00052c	(2E)-hexenoyl-[ACP]	(2E)-hexenoyl-[ACP]	C6H9OSR	C17H29N2O8PRS	0	-1	
m00055c	(2E)-nonenoyl-[ACP]	(2E)-nonenoyl-[ACP]	C9H15OSR	C20H35N2O8PRS	0	-1	
m00058c	(2E)-octenoyl-[ACP]	(2E)-octenoyl-[ACP]	C8H13OSR	C19H33N2O8PRS	0	-1	
m00060c	(2E)-pentadecenoyl-[ACP]	(2E)-pentadecenoyl-[ACP]	C15H27OSR	C26H47N2O8PRS	0	-1	
m00062c	(2E)-pentenoyl-[ACP]	(2E)-pentenoyl-[ACP]	C5H7OSR	C16H27N2O8PRS	0	-1	
m00065c	(2E)-tetradecenoyl-[ACP]	(2E)-tetradecenoyl-[ACP]	X	C25H45N2O8PRS	0	-1	
m00068c	(2E)-tridecenoyl-[ACP]	(2E)-tridecenoyl-[ACP]	C13H23OSR	C24H43N2O8PRS	0	-1	
m00070c	(2E)-undecenoyl-[ACP]	(2E)-undecenoyl-[ACP]	C11H19OSR	C22H39N2O8PRS	0	-1	
m00096c	(5)ppPur-mRNA	(5)ppPur-mRNA	C10H19O16P3R2(C5H8O6PR)n	C15H23O22P4R3	0	-4	
m00137c	(ADP-D-ribosyl)n-acceptor	(ADP-D-ribosyl)n-acceptor	X	C15H19N5O13P2X	0	0	
m00154r	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	C1960H3228N20O770P20	C188H310N2O77P2	-20	-2	
m00158c	(R)-3-hydroxybutanoyl-[ACP]	(R)-3-hydroxybutanoyl-[ACP]	C4H7O2SR	C15H27N2O9PRS	0	-1	
m00160c	(R)-3-hydroxydecanoyl-[ACP]	(R)-3-hydroxydecanoyl-[ACP]	C10H19O2SR	C21H39N2O9PRS	0	-1	
