reaction_id,reaction_equation,dead_end_test,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox
MAR03905,MAM01796c + MAM02552c --> MAM01249c + MAM02039c + MAM02553c,ok,ok,ok,ok,N/A
MAR03907,MAM01796c + MAM02554c --> MAM01249c + MAM02039c + MAM02555c,ok,ok,ok,ok,N/A
MAR04097,MAM01252c + MAM01371c + MAM01597c --> MAM01261c + MAM01334c + MAM02759c,ok,ok,ok,ok,N/A
MAR04099,MAM01252m + MAM01371m + MAM01597m --> MAM01261m + MAM01334m + MAM02759m,ok,ok,ok,ok,N/A
MAR04108,MAM01257c + MAM01597c --> MAM01261c + MAM01334c + MAM02039c,ok,ok,ok,ok,N/A
MAR04133,MAM01252c + MAM01371c + MAM02039c --> MAM01257c + MAM02759c,ok,ok,ok,ok,N/A
MAR04281,MAM02039x + MAM02553x + MAM02819x <=> MAM02403x + MAM02552x,ok,ok,ok,ok,N/A
MAR04388,MAM02039c + MAM02553c + MAM02819c <=> MAM02403c + MAM02552c,ok,ok,ok,ok,N/A
MAR04283,MAM01249c + MAM02040c + MAM02554c --> MAM01252c + 2 MAM02039c + MAM02555c,ok,ok,ok,ok,N/A
MAR08357,MAM01249m + MAM02040m + MAM02552m --> MAM01252m + 2 MAM02039m + MAM02553m,ok,ok,ok,ok,N/A
MAR04379,MAM01371c + MAM01845c --> MAM01285c + MAM01841c + MAM02039c,ok,ok,ok,ok,N/A
MAR04301,MAM01845c + MAM03130c --> MAM01841c + MAM02039c + MAM03106c,ok,ok,ok,ok,N/A
MAR04355,MAM01690c + MAM01785c --> MAM02883c,ok,ok,ok,ok,N/A
MAR04358,MAM01285c + MAM02039c + MAM02696c --> MAM01371c + MAM02819c,ok,ok,ok,ok,N/A
MAR04360,MAM02040c + MAM02475c + MAM02554c --> 2 MAM02039c + MAM02555c + MAM02819c,ok,ok,ok,ok,N/A
MAR04363,MAM00674c <=> MAM02040c + MAM02696c,ok,ok,ok,ok,N/A
MAR04365,MAM00674c <=> MAM00913c,ok,ok,ok,ok,N/A
MAR04368,MAM00247c + MAM01285c <=> MAM00913c + MAM01371c,ok,ok,ok,ok,N/A
MAR04370,MAM00247c + MAM02040c --> MAM00913c + MAM02039c + MAM02751c,ok,ok,ok,ok,N/A
MAR04371,MAM00247c --> MAM00569c + MAM02039c,ok,ok,ok,ok,N/A
MAR04372,MAM00569c + MAM02040c --> MAM00913c + MAM02751c,ok,ok,ok,ok,N/A
