	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1	Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I)		ubiquinone[m]	1	1	ubiquinol[m]	1	1								
				NADH[m]	1	1	NAD+[m]	1	1								
				H+[m]	5	5	H+[i]	4	4								
	2	Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)		succinate[m]	1	1	fumarate[m]	1	1								
				FAD[m]	1	1	FADH2[m]	1	1								
	3	Krebs cycle - oxidative decarboxylation of pyruvate		pyruvate[m]	1	1	acetyl-CoA[m]	1	1								
				NAD+[m]	1	1	NADH[m]	1	1								
				CoA[m]	1	1	CO2[m]	1	1								
	4	Krebs cycle - NADH generation		acetyl-CoA[m]	1	1	CoA[m]	1	1								
				GDP[m]	1	1	FADH2[m]	1	1								
				FAD[m]	1	1	GTP[m]	1	1								
				NAD+[m]	3	3	NADH[m]	3	3								
				Pi[m]			CO2[m]	2	2								
				H2O[m]	2	2	H+[m]	2	3								
	5	ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle		glucose[c]	1	1	ATP[c]	30	32								
				O2[c]	6	6	H2O[c]	36	38								
				Pi[c]	30	32	CO2[c]	6	6								
				ADP[c]	30	32											
				H+[c]	30	32											
	6	ATP generation from glucose (hypoxic conditions) - glycolysis		glucose[c]	1	1	pyruvate[c]	2	2								
				NAD+[c]	2	2	H+[c]	2	2								
				ADP[c]	2	2	ATP[c]	2	2								
				Pi[c]	2	2	NADH[c]	2	2								
							H2O[c]	2	2								
	7	Reactive oxygen species detoxification (H2O2 to H2O)		H2O2[e]	2	2	H2O[e]	2	2								
							O2[e]	1	1								
	8	Presence of the thioredoxin system through the thioredoxin reductase activity		H+[c]	1	1	NADP+[c]	1	1								
				NADPH[c]	1	1	thioredoxin[c]	1	1								
				oxidized thioredoxin[c]	1	1											
	9	Inosine monophosphate synthesis (IMP)		glucose[c]	1	1	IMP[c]	1	1								
				glutamine[c]	2	2	glutamate[c]	2	2								
				aspartate[c]	1	1	THF[c]	2	2								
				glycine[c]	1	1	fumarate[c]	1	1								
				10-formyl-THF[c]	2	2	PPi[c]	1	1								
				ATP[c]	6	6	ADP[c]	5	5								
				H2O[c]	2	2	H+[c]	11	11								
				NADP+[c]	2	2	Pi[c]	4	4								
							NADPH[c]	2	2								
							AMP[c]	1	1								
	10	Cytidine triphosphate synthesis (CTP)		glutamine[c]	1	2	glutamate[c]	1	2								
				HCO3-[c]	1	1	CTP[c]	1	1								
				aspartate[c]	1	1	ubiquinol[m]	1	1								
				ubiquinone[m]	1	1	H+[c]	7	7								
				glucose[c]	1	1	Pi[c]	3	3								
				ATP[c]	7	7	ADP[c]	6	6								
				H2O[c]	1	2	PPi[c]	1	1								
				NADP+[c]	2	2	CO2[c]	2	2								
				NH4+[c]	0	1	NADPH[c]	2	2								
							AMP[c]	1	1								
	11	Guanosine triphosphate synthesis (GTP)		glucose[c]	1	1	GTP[c]	1	1								
				glutamine[c]	3	3	glutamate[c]	3	3								
				aspartate[c]	1	1	THF[c]	2	2								
				glycine[c]	1	1	fumarate[c]	1	1								
				10-formyl-THF[c]	2	2	PPi[c]	2	2								
				NADP+[c]	2	2	ADP[c]	7	7								
				ATP[c]	9	9	H+[c]	14	14								
				H2O[c]	4	4	Pi[c]	4	4								
				NAD+[c]	1	1	NADH[c]	1	1								
							NADPH[c]	2	2								
							AMP[c]	2	2								
	12	Uridine triphosphate synthesis (UTP)		glutamine[c]	1	1	glutamate[c]	1	1								
				HCO3-[c]	1	1	UTP[c]	1	1								
				aspartate[c]	1	1	ubiquinol[m]	1	1								
				ubiquinone[m]	1	1	H+[c]	5	5								
				glucose[c]	1	1	Pi[c]	2	2								
				H2O[c]	1	1	ADP[c]	5	5								
				ATP[c]	6	6	PPi[c]	1	1								
				NADP+[c]	2	2	CO2[c]	2	2								
							NADPH[c]	2	2								
							AMP[c]	1	1								
	13	Deoxyadenosine triphosphate synthesis (dATP)		glucose[c]	1	1	dATP[c]	1	1								
				glutamine[c]	2	2	glutamate[c]	2	2								
				aspartate[c]	2	2	THF[c]	2	2								
				glycine[c]	1	1	fumarate[c]	2	2								
				10-formyl-THF[c]	2	3	PPi[c]	1	1								
				ATP[c]	8	8	ADP[c]	6	6								
				H2O[c]	1	1	H+[c]	13	13								
				thioredoxin[c]	1	1	Pi[c]	5	5								
				NADP+[c]	2	2	AMP[c]	2	2								
							NADPH[c]	2	2								
							oxidized thioredoxin[c]	1	1								
	14	Deoxycytidine triphosphate synthesis (dCTP)		glutamine[c]	1	2	glutamate[c]	1	2								
				HCO3-[c]	1	1	dCTP[c]	1	1								
				aspartate[c]	1	1	ubiquinol[m]	1	1								
				ubiquinone[m]	1	1	H+[c]	7	7								
				glucose[c]	1	1	Pi[c]	3	3								
				ATP[c]	7	7	ADP[c]	6	6								
				H2O[c]	1	2	PPi[c]	1	1								
				NADP+[c]	2	2	CO2[c]	2	2								
				NH4+[c]	0	1	NADPH[c]	2	2								
				thioredoxin[c]	1	1	AMP[c]	1	1								
							oxidized thioredoxin[c]	1	1								
	15	Deoxyguanosine triphosphate synthesis (dGTP)		glucose[c]	1	1	dGTP[c]	1	1								
				glutamine[c]	3	3	glutamate[c]	3	3								
				aspartate[c]	1	1	THF[c]	2	2								
				glycine[c]	1	1	fumarate[c]	1	1								
				10-formyl-THF[c]	2	2	PPi[c]	2	2								
				NADP+[c]	2	2	ADP[c]	7	7								
				ATP[c]	9	9	H+[c]	14	14								
				H2O[c]	4	4	Pi[c]	4	4								
				NAD+[c]	1	1	NADH[c]	1	1								
				thioredoxin[c]	1	1	NADPH[c]	2	2								
							AMP[c]	2	2								
							oxidized thioredoxin[c]	1	1								
	16	Deoxyuridine triphosphate synthesis (dUTP)		glutamine[c]	1	1	glutamate[c]	1	1								
				HCO3-[c]	1	1	dUTP[c]	1	1								
