	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1	Aerobic rephosphorylation of ATP from glucose		O2[e];glucose[e]			H2O[e];CO2[e];H+[c]			ATP[c] + H2O[c] => ADP[c] + Pi[c] + H+[c]	1						
	2	Aerobic rephosphorylation of ATP from a fatty acid		O2[e];palmitate[e]			H2O[e];CO2[e];H+[c]			ATP[c] + H2O[c] => ADP[c] + Pi[c] + H+[c]	1						
	3	Aerobic rephosphorylation of GTP		O2[e];glucose[e]			H2O[e];CO2[e];H+[c]			GTP[c] + H2O[c] => GDP[c] + Pi[c] + H+[c]	1						
	4	Aerobic rephosphorylation of CTP		O2[e];glucose[e]			H2O[e];CO2[e];H+[c]			CTP[c] + H2O[c] => CDP[c] + Pi[c] + H+[c]	1						
	5	Aerobic rephosphorylation of UTP		O2[e];glucose[e]			H2O[e];CO2[e];H+[c]			UTP[c] + H2O[c] => UDP[c] + Pi[c] + H+[c]	1						
	6	Anaerobic rephosphorylation of ATP		glucose[e]			H2O[e];L-lactate[e];CO2[e];H+[c]			ATP[c] + H2O[c] => ADP[c] + Pi[c] + H+[c]	1						
	7	Anaerobic rephosphorylation of GTP		glucose[e]			H2O[e];L-lactate[e];CO2[e];H+[c]			GTP[c] + H2O[c] => GDP[c] + Pi[c] + H+[c]	1						
	8	Anaerobic rephosphorylation of CTP		glucose[e]			H2O[e];L-lactate[e];CO2[e];H+[c]			CTP[c] + H2O[c] => CDP[c] + Pi[c] + H+[c]	1						
	9	Anaerobic rephosphorylation of UTP		glucose[e]			H2O[e];L-lactate[e];CO2[e];H+[c]			UTP[c] + H2O[c] => UDP[c] + Pi[c] + H+[c]	1						
	10	ATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							ATP[c]	1									
	11	CTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							CTP[c]	1									
	12	GTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GTP[c]	1									
	13	UTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UTP[c]	1									
	14	dATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dATP[c]	1									
	15	dCTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dCTP[c]	1									
	16	dGTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dGTP[c]	1									
	17	dTTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dTTP[c]	1									
	18	ATP salvage from Adenosine		Pi[e];H+[c]			H2O[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c] + H+[c]							
				adenosine[e]	1	1	ATP[e]	1									
	19	ATP salvage from Hypoxanthine		Pi[e];O2[e];NH3[e];H2O[e];H+[c]			H2O[e];Pi[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c] + H+[c]							
				hypoxanthine[e]	1	1	ATP[e]	1									
				PRPP[c]	1	1											
	20	dTTP salvage from Thymine		Pi[e];O2[e];NH3[e];H2O[e];H+[c]			H2O[e];PPi[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c] + H+[c]							
				thymine[e]	1	1	dTTP[c]	1									
				2-deoxy-D-ribose-1-phosphate[c]	1	1											
	21	Aerobic reduction of NAD+		glucose[e];O2[e]			H2O[e];CO2[e]			NADH[c] => NAD+[c]	1						This is not a proof since there can be net synthesis of NADH. However, if you look at the solution it's fine
	22	Aerobic reduction of NADP+		glucose[e];O2[e]			H2O[e];CO2[e]			NADPH[c] => NADP+[c]	1						This is not a proof since there can be net synthesis of NADPH. However, if you look at the solution it's fine
	23	Gluconeogenesis from Lactate		O2[e];H2O[e];L-lactate[e]			H2O[e];CO2[e]										
							glucose[e]	1									
	24	Gluconeogenesis from Glycerol		O2[e];H2O[e];glycerol[e]			H2O[e];CO2[e]										
							glucose[e]	1									
	25	Gluconeogenesis from Alanine		O2[e];H2O[e];alanine[e]			H2O[e];CO2[e];urea[e]										
							glucose[e]	1									
	26	Gluconeogenesis from Lactate and optionally fatty acid		O2[e];H2O[e];palmitate[e];L-lactate[e]			H2O[e];CO2[e]										
							glucose[e]	1									
	27	Gluconeogenesis from Glycerol and optionally fatty acid		O2[e];H2O[e];palmitate[e];glycerol[e]			H2O[e];CO2[e]										
							glucose[e]	1									
	28	Gluconeogenesis from Alanine and fatty acid		O2[e];H2O[e];palmitate[e];alanine[e]			H2O[e];CO2[e]										
							glucose[e]	1									
	29	Storage of glucose in Glycogen		glucose[e]	11	11	H2O[e];CO2[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c] + H+[c]							
				glycogenin[c]	1	1	glycogenin G11[c]	1		NADH[c] <=> NAD+[c]							
				O2[e]						NADPH[c] <=> NADP+[c]							
	30	Release of glucose from Glycogen		glycogenin G11[c]	1	1	glucose[e]	11	11	glucose-1-phosphate[c] + H2O[c] => glucose[c] + Pi[c]							
				H2O[e]			glycogenin[c]	1	1								
	31	Fructose degradation		fructose[e];O2[e]		1	H2O[e];CO2[e]										
	32	Galactose degradation		galactose[e];O2[e]		1	H2O[e];CO2[e]										
	33	UDP-glucose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-glucose[c]	1									
	34	UDP-galactose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-galactose[c]	1									
	35	UDP-glucuronate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-glucuronate[c]	1									
	36	GDP-L-fucose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GDP-L-fucose[c]	1									
	37	GDP-mannose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GDP-mannose[c]	1									
	38	UDP-N-acetyl D-galactosamine de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
