rxns	notes	newAssoc
r1293	reaction is duplicate of HMR_5167	HMR_5167
r1294	reaction is duplicate of HMR_5168	HMR_5168
HMR_7255	reaction is invalid and associated KEGG ID has been deprecated	
GGNG	reaction is duplicate of HMR_5395	HMR_5395
r1092	reaction is duplicate of HMR_5151	HMR_5151
r1093	reaction is duplicate of HMR_5152	HMR_5152
r1094	reaction is duplicate of HMR_5153	HMR_5153
r1095	reaction is duplicate of HMR_5154	HMR_5154
r1096	reaction is duplicate of HMR_5155	HMR_5155
r1097	reaction is duplicate of HMR_5156	HMR_5156
r1098	reaction is duplicate of HMR_5157	HMR_5157
r1099	reaction is duplicate of HMR_5158	HMR_5158
r1100	reaction is duplicate of HMR_5159	HMR_5159
r1101	reaction is duplicate of HMR_5160	HMR_5160
r1102	reaction is duplicate of HMR_5161	HMR_5161
r1103	reaction is duplicate of HMR_5162	HMR_5162
r1104	reaction is duplicate of HMR_5163	HMR_5163
r1105	reaction is duplicate of HMR_5164	HMR_5164
r1112	reaction is duplicate of HMR_5165	HMR_5165
r1113	reaction is duplicate of HMR_5166	HMR_5166
r1402	reaction is duplicate of HMR_5172	HMR_5172
HMR_4782	reaction is duplicate of HMR_4780 and HMR_4778	HMR_4780; HMR_4778
HMR_4783	reaction is duplicate of HMR_4781 and HMR_4779	HMR_4781; HMR_4779
HMR_1849	DUPLICATE of HMR_8658 after adjusting ATP cost to 1	HMR_8658
HMR_1851	DUPLICATE of HMR_1868 after adjusting ATP cost to 1	HMR_1868
HMR_1856	DUPLICATE of HMR_1870 after adjusting ATP cost to 1	HMR_1870
HMR_1858	DUPLICATE of HMR_1874 after adjusting ATP cost to 1	HMR_1874
HMR_1860	DUPLICATE of HMR_1872 after adjusting ATP cost to 1	HMR_1872
FAH3	rxn is identical to HMR_8038 after rebalancing protons	HMR_8038
AGLPT	use of R Total metabolite is inconsistent with existing lipid pools	
AGPAT1	use of R Total metabolite is inconsistent with existing lipid pools	
AGPSx	use of R Total metabolite is inconsistent with existing lipid pools	
ARTCOAL1	use of R Total metabolite is inconsistent with existing lipid pools	
ARTCOAL2	use of R Total metabolite is inconsistent with existing lipid pools	
ARTCOAL3	use of R Total metabolite is inconsistent with existing lipid pools	
R_group_phosphotase_1	use of R Total metabolite is inconsistent with existing lipid pools	
R_group_phosphotase_2	use of R Total metabolite is inconsistent with existing lipid pools	
R_group_phosphotase_3	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR11	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR12	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR13	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR202	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR203	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR204	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR205	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR206	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR207	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR208	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR209	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR210	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR211	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR212	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR213	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR31	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR32	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR33	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR34	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR41	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR42	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR43	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR44	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR45	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR46	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR51	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR52	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR53	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR54	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR55	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR56	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR57	use of R Total metabolite is inconsistent with existing lipid pools	
ARTFR61	use of R Total metabolite is inconsistent with existing lipid pools	
ARTPLM1	use of R Total metabolite is inconsistent with existing lipid pools	
