# Date: 2018-11-09
r0202m	reaction should not take place in mitochondria, should be DELETED
RE1573M	reaction is missing FADH2 and would be identical to HMR_3288, so it should be DELETED
r1453	reaction is same as HMR_3838 but ubiquinol is on wrong side of equation; should be DELETED
r0698	no evidence supporting such a reaction, and missing electron source; should be DELETED
DHCR241r	reaction is identical to r1380, but uses incorrect cofactor (FADH2); should be DELETED
DHCR242r	reaction is identical to HMR_1533, but uses incorrect cofactor (FADH2); should be DELETED
r1479	reaction is mass-imbalanced and generates carbon, and should therefore be DELETED
FAOXC2251836m	reaction enables biosynthesis of an essential fatty acid (linoleic acid), which is physiologically incorrect. Reaction should be DELETED, unless sufficient evidence supporting its inclusion can be provided.
FAOXC2251836x	reaction enables biosynthesis of an essential fatty acid (linoleic acid), which is physiologically incorrect. Reaction should be DELETED, unless sufficient evidence supporting its inclusion can be provided.
HMR_3451	reaction enables biosynthesis of an essential fatty acid (linoleic acid), which is physiologically incorrect. Reaction should be DELETED, unless sufficient evidence supporting its inclusion can be provided.
HMR_3465	reaction enables biosynthesis of an essential fatty acid (linoleic acid), which is physiologically incorrect. Reaction should be DELETED, unless sufficient evidence supporting its inclusion can be provided.
r1169	reaction incorrectly treats gamma-linolenoyl-CoA and linolenoyl-CoA as equivalent (see e.g. HMR_3720 and HMR_3674), and should therefore be DELETED
DOPACCL	no sources supporting this reaction, and literature (PMID: 20600874) suggests that it could not occur; reaction should be DELETED
DOLGPP_Ler	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLASNT_Ler	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLDPP_Ler	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLK_L	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLMANP_Lter	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLPMT3_Ler	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
GPIMTer_L	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
GLCNACPT_L	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLPGT3_Ler	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DOLICHOL_Lter	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
DEDOLR_L	reaction assumes dolichol-related mets have greater mass than other rxns in model, thus creating mass imbalances; rxn should be DELETED
VLDL_HSDEG	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
IDL_HSDEG	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
LDL_HSDEG	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
HDL_HSDEG	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
CHYLO_HSDEG	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
VLDL_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
IDL_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
LDL_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
HDL_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
MYELIN_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
CHYLO_HSSYN	treatment of TAG-VLDL pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should be DELETED
HMR_2128	rxn is mass imbalanced, but correction would result in identical reaction as HMR_2141; should therefore be DELETED
RE3273C	treatment of PI pool and/or phosphatidate-LD-TAG pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
RE3273G	treatment of PI pool and/or phosphatidate-LD-TAG pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
RE3273R	treatment of PI pool and/or phosphatidate-LD-TAG pool here is different than other (HMR) reactions in the model, resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
DHAPA	R Total Coenzyme A is effectively equal to palmitoyl-CoA, so the reaction is therefore mass-imbalanced; should be DELETED
DHAPAx	R Total Coenzyme A is effectively equal to palmitoyl-CoA, so the reaction is therefore mass-imbalanced; should be DELETED
DSAT	rxn treats mass of dihydroceramide pool metabolite differently than others in model (e.g. HMR_0753, HMR_0692), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
RE3301C	rxn treats PS-LD/phosphatidate-LD-TAG pool differently than others in model (e.g., HMR_0660), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
RE3301G	rxn treats PS-LD/phosphatidate-LD-TAG pool differently than others in model (e.g., HMR_0660), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
RE3301R	rxn treats PS-LD/phosphatidate-LD-TAG pool differently than others in model (e.g., HMR_0660), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
CDS	rxn treats phosphatidate-LD-TAG pool and/or CDP-diacylglycerol-LD-PI pool differently than others in the model (e.g., HMR_0607), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
CDSm	rxn treats phosphatidate-LD-TAG pool and/or CDP-diacylglycerol-LD-PI pool differently than others in the model (e.g., HMR_0607), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
CHOLESACATc	rxn treats mass of cholesterol-ester pool metabolite differently than others in model, resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
LPS	rxn treats TAG-VLDL pool and/or 1,2-diacylglycerol-LD-TAG pool differently than others in model (e.g., HMR_0007), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
LPSe	rxn treats TAG-VLDL pool and/or 1,2-diacylglycerol-LD-TAG pool differently than others in model (e.g., HMR_0007), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
DGAT	rxn treats TAG-VLDL pool and/or 1,2-diacylglycerol-LD-TAG pool differently than others in model (e.g., HMR_0007), resulting in mass imbalances; rxn should therefore be constrained until imbalances can be addressed, otherwise DELETED
r0626	reaction is mass-imbalanced and should therefore be constrained until imbalances can be addressed, otherwise DELETED
r1386	reaction is mass-imbalanced and should therefore be constrained until imbalances can be addressed, otherwise DELETED
HC02191c	reaction is carbon-imbalanced and should therefore be constrained until imbalances can be addressed, otherwise DELETED
r1254	rxn should produce stearidonoyl-CoA, NOT stearoyl-CoA (see HMR_0353); rxn should therefore be DELETED
