gene	DLD1	GBM	HCT116	HELA	RPE1
ENSG00000000005	0	0	0.00175748	0	0.003942802
ENSG00000000419	73.99609624	55.64200255	85.01811992	91.89560925	59.07545522
ENSG00000000457	8.473393708	6.600141504	8.113659435	5.094200235	4.762529109
ENSG00000000460	17.21192885	9.752812117	14.93408127	19.96829232	21.44774103
ENSG00000000938	0.001624506	0.003561993	0.025982622	0.143149445	0.001026447
ENSG00000000971	0.002432291	1.086670999	0.027588792	72.24505596	26.62994881
ENSG00000001036	126.9845265	43.8034057	53.42903373	90.9448662	111.637952
ENSG00000001084	53.49218916	19.51082688	69.63031843	46.25610671	18.72100791
ENSG00000001167	26.13297727	47.96880932	25.02164421	14.82612861	23.998563
ENSG00000001460	9.120640155	4.609895797	8.423665257	3.290589342	16.53455031
ENSG00000001461	22.21777216	15.06150494	11.68142471	14.20151426	84.95425314
ENSG00000001497	50.85203795	36.65278085	42.5017608	83.56856543	36.99446344
ENSG00000001561	8.9948508	0.051551891	9.847852166	0.061479997	1.545431922
ENSG00000001617	26.59005655	70.58086826	12.45156965	85.44339555	75.14349528
ENSG00000001626	12.63931756	0.002432008	0.002630243	1.200139905	0.001369273
ENSG00000001629	41.35896962	58.97901925	22.81678159	30.19410297	36.86641308
ENSG00000001630	62.74030608	202.4546254	41.829323	37.41135621	41.8836531
ENSG00000001631	46.14770183	57.40551197	41.65566039	47.26128705	38.32624253
ENSG00000002016	24.51751338	26.25570033	27.17430682	15.59681123	16.42021957
ENSG00000002330	20.04997763	37.78843632	24.93502539	66.01784492	31.95860018
ENSG00000002549	67.80634895	44.10821286	69.24519379	50.0613683	30.8266016
ENSG00000002586	65.58694675	154.0668694	41.94549996	147.9595762	103.2262248
ENSG00000002587	6.41771284	13.704868	48.62118174	0.252791431	0.96020047
ENSG00000002745	0.63299725	1.998783325	64.74158951	0.750658438	0.231652615
ENSG00000002746	0.883626497	3.066935591	5.552579451	6.585569641	0.000863658
ENSG00000002822	33.707559	41.32474825	36.31179306	18.9555891	30.42305918
ENSG00000002834	165.7140215	71.02266818	107.6907553	67.54585692	222.5204305
ENSG00000002919	25.11998304	16.73705226	21.46575997	15.09615823	21.4924224
ENSG00000002933	0	0	0.005847449	0.051756166	0
ENSG00000003056	283.1868197	170.0045207	244.1899316	361.5848041	278.9410481
ENSG00000003096	0.007445059	30.86098849	3.457832981	38.14497773	11.0630251
ENSG00000003137	21.1647275	4.234572726	17.55423094	1.894833781	2.583588084
ENSG00000003147	45.54371875	0.181604955	22.70627136	1.002017871	0.386173388
ENSG00000003249	19.39333918	24.51317772	52.76637873	6.613110051	15.23465134
ENSG00000003393	14.13344948	38.07780343	11.10433242	12.62038446	24.98372472
ENSG00000003400	8.797180001	1.24227335	1.187826048	3.917494544	0.00153664
ENSG00000003402	51.24137113	45.53786164	26.04867088	35.44120245	22.92465213
ENSG00000003436	7.508822339	350.0727885	20.73406011	183.6865753	66.83516512
ENSG00000003756	158.5226826	209.885621	153.8957208	129.5196968	143.8811044
ENSG00000003987	0.923790215	0.473548533	0.632002012	0.974686977	0.836048979
ENSG00000003989	17.3437887	17.69243494	3.683916745	39.76579884	0.000517976
ENSG00000004059	239.2864982	242.2708036	298.3528118	174.1386447	152.8257011
ENSG00000004139	13.73699073	5.979699987	0.320799718	11.23059844	13.93009236
ENSG00000004142	76.07686466	48.94318025	72.78941884	88.51870325	96.24557947
ENSG00000004399	6.46246413	27.295628	38.35644671	36.51412687	59.73446041
ENSG00000004455	346.7195598	148.5089717	194.3937216	305.5307115	168.8687691
ENSG00000004468	0.029464131	3.70715426	0.01459832	0.002596592	0.005314224
ENSG00000004478	101.0175147	65.08137858	99.85309556	181.9124709	48.31481875
ENSG00000004487	97.23829297	64.18512595	49.85007357	119.1806107	50.92916216
