mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00001c"	"m00001"	"carveol"	"C00964"	""	"CHEBI:15389"	""	""	""	""	"carveol"	"MNXM45735"	"m00001c"
"m00001s"	"m00001"	"carveol"	"C00964"	""	"CHEBI:15389"	""	""	""	""	"carveol"	"MNXM45735"	"m00001s"
"m00002c"	"m00002"	"appnn"	"C09880"	"HMDB06525"	"CHEBI:36740"	"6654"	""	""	""	"appnn"	"MNXM163755"	"m00002c"
"m00002s"	"m00002"	"appnn"	"C09880"	"HMDB06525"	"CHEBI:36740"	"6654"	""	""	""	"appnn"	"MNXM163755"	"m00002s"
"m00003c"	"m00003"	""	""	""	""	""	"LMFA01030283"	""	""	"M00003"	"MNXM150165;MNXM27815"	"m00003c"
"m00003l"	"m00003"	""	""	""	""	""	"LMFA01030283"	""	""	"M00003"	"MNXM150165;MNXM27815"	"m00003l"
"m00003r"	"m00003"	""	""	""	""	""	"LMFA01030283"	""	""	"M00003"	"MNXM150165;MNXM27815"	"m00003r"
"m00003s"	"m00003"	""	""	""	""	""	"LMFA01030283"	""	""	"M00003"	"MNXM150165;MNXM27815"	"m00003s"
"m00004c"	"m00004"	""	""	""	""	""	""	""	""	"M00004"	"MNXM148601"	"m00004c"
"m00004m"	"m00004"	""	""	""	""	""	""	""	""	"M00004"	"MNXM148601"	"m00004m"
"m00004r"	"m00004"	""	""	""	""	""	""	""	""	"M00004"	"MNXM148601"	"m00004r"
"m00005c"	"m00005"	""	""	""	""	""	"LMFA03060071"	""	""	"M00005"	"MNXM9658"	"m00005c"
"m00006c"	"m00006"	""	""	""	""	""	""	""	""	"M00006"	""	"m00006c"
"m00006m"	"m00006"	""	""	""	""	""	""	""	""	"M00006"	""	"m00006m"
"m00006r"	"m00006"	""	""	""	""	""	""	""	""	"M00006"	""	"m00006r"
"m00007c"	"m00007"	""	""	""	""	""	"LMFA07050056"	"CE5151"	""	"CE5151"	"MNXM11852"	"m00007c"
"m00007m"	"m00007"	""	""	""	""	""	"LMFA07050056"	"CE5151"	""	"CE5151"	"MNXM11852"	"m00007m"
"m00007p"	"m00007"	""	""	""	""	""	"LMFA07050056"	"CE5151"	""	"CE5151"	"MNXM11852"	"m00007p"
"m00007r"	"m00007"	""	""	""	""	""	"LMFA07050056"	"CE5151"	""	"CE5151"	"MNXM11852"	"m00007r"
"m00008c"	"m00008"	""	"C16525"	""	""	""	"LMFA01030130"	""	""	"M00008"	"MNXM11473"	"m00008c"
"m00008l"	"m00008"	""	"C16525"	""	""	""	"LMFA01030130"	""	""	"M00008"	"MNXM11473"	"m00008l"
"m00008r"	"m00008"	""	"C16525"	""	""	""	"LMFA01030130"	""	""	"M00008"	"MNXM11473"	"m00008r"
"m00008s"	"m00008"	""	"C16525"	""	""	""	"LMFA01030130"	""	""	"M00008"	"MNXM11473"	"m00008s"
"m00009c"	"m00009"	""	"C16180"	""	""	""	"LMFA07050036"	"CE4843"	""	"CE4843"	"MNXM167435;MNXM6496"	"m00009c"
"m00009m"	"m00009"	""	"C16180"	""	""	""	"LMFA07050036"	"CE4843"	""	"CE4843"	"MNXM167435;MNXM6496"	"m00009m"
"m00009r"	"m00009"	""	"C16180"	""	""	""	"LMFA07050036"	"CE4843"	""	"CE4843"	"MNXM167435;MNXM6496"	"m00009r"
"m00010c"	"m00010"	""	"C16522"	""	"CHEBI:53460"	""	"LMFA01030378"	""	""	"M00010"	"MNXM8271"	"m00010c"
"m00010l"	"m00010"	""	"C16522"	""	"CHEBI:53460"	""	"LMFA01030378"	""	""	"M00010"	"MNXM8271"	"m00010l"
"m00010r"	"m00010"	""	"C16522"	""	"CHEBI:53460"	""	"LMFA01030378"	""	""	"M00010"	"MNXM8271"	"m00010r"
"m00010s"	"m00010"	""	"C16522"	""	"CHEBI:53460"	""	"LMFA01030378"	""	""	"M00010"	"MNXM8271"	"m00010s"
"m00011c"	"m00011"	""	""	""	""	""	""	""	""	"M00011"	""	"m00011c"
"m00011m"	"m00011"	""	""	""	""	""	""	""	""	"M00011"	""	"m00011m"
"m00011r"	"m00011"	""	""	""	""	""	""	""	""	"M00011"	""	"m00011r"
"m00012c"	"m00012"	""	"C16179"	""	""	""	"LMFA07050044"	""	""	"M00012"	"MNXM162872;MNXM6497"	"m00012c"
"m00012m"	"m00012"	""	"C16179"	""	""	""	"LMFA07050044"	""	""	"M00012"	"MNXM162872;MNXM6497"	"m00012m"
"m00012r"	"m00012"	""	"C16179"	""	""	""	"LMFA07050044"	""	""	"M00012"	"MNXM162872;MNXM6497"	"m00012r"
"m00013c"	"m00013"	"prostg1"	"C04654"	"HMDB01320"	"CHEBI:15548"	"5280710"	""	""	""	"prostg1"	"MNXM168925;MNXM3139"	"m00013c"
"m00014p"	"m00014"	""	""	""	""	"53481472"	""	"CE6229"	""	"CE6229"	"MNXM150224"	"m00014p"
"m00015p"	"m00015"	""	""	""	""	"53481473"	""	"CE6228"	""	"CE6228"	"MNXM33354"	"m00015p"
"m00016c"	"m00016"	""	"C16531"	""	""	""	"LMFA07050057"	"CE5155"	""	"CE5155"	"MNXM11430;MNXM162947"	"m00016c"
"m00016m"	"m00016"	""	"C16531"	""	""	""	"LMFA07050057"	"CE5155"	""	"CE5155"	"MNXM11430;MNXM162947"	"m00016m"
"m00016p"	"m00016"	""	"C16531"	""	""	""	"LMFA07050057"	"CE5155"	""	"CE5155"	"MNXM11430;MNXM162947"	"m00016p"
"m00016r"	"m00016"	""	"C16531"	""	""	""	"LMFA07050057"	"CE5155"	""	"CE5155"	"MNXM11430;MNXM162947"	"m00016r"
"m00017c"	"m00017"	""	""	""	""	""	"LMFA01030367"	""	""	"M00017"	"MNXM24465;MNXM27114"	"m00017c"
"m00017l"	"m00017"	""	""	""	""	""	"LMFA01030367"	""	""	"M00017"	"MNXM24465;MNXM27114"	"m00017l"
"m00017r"	"m00017"	""	""	""	""	""	"LMFA01030367"	""	""	"M00017"	"MNXM24465;MNXM27114"	"m00017r"
"m00017s"	"m00017"	""	""	""	""	""	"LMFA01030367"	""	""	"M00017"	"MNXM24465;MNXM27114"	"m00017s"
"m00018c"	"m00018"	""	""	""	""	""	""	""	""	"M00018"	"MNXM146661"	"m00018c"
"m00018m"	"m00018"	""	""	""	""	""	""	""	""	"M00018"	"MNXM146661"	"m00018m"
"m00018p"	"m00018"	""	""	""	""	""	""	""	""	"M00018"	"MNXM146661"	"m00018p"
"m00018r"	"m00018"	""	""	""	""	""	""	""	""	"M00018"	"MNXM146661"	"m00018r"
"m00019c"	"m00019"	""	""	""	""	""	"LMFA01030290"	""	""	"M00019"	"MNXM29438;MNXM33770"	"m00019c"
"m00019l"	"m00019"	""	""	""	""	""	"LMFA01030290"	""	""	"M00019"	"MNXM29438;MNXM33770"	"m00019l"
"m00019r"	"m00019"	""	""	""	""	""	"LMFA01030290"	""	""	"M00019"	"MNXM29438;MNXM33770"	"m00019r"
"m00019s"	"m00019"	""	""	""	""	""	"LMFA01030290"	""	""	"M00019"	"MNXM29438;MNXM33770"	"m00019s"
"m00020c"	"m00020"	""	""	""	""	""	""	""	""	"M00020"	""	"m00020c"
"m00020m"	"m00020"	""	""	""	""	""	""	""	""	"M00020"	""	"m00020m"
"m00020r"	"m00020"	""	""	""	""	""	""	""	""	"M00020"	""	"m00020r"
"m00021c"	"m00021"	""	"C16533"	""	""	""	"LMFA01030405"	""	""	"M00021"	"MNXM9691"	"m00021c"
"m00021l"	"m00021"	""	"C16533"	""	""	""	"LMFA01030405"	""	""	"M00021"	"MNXM9691"	"m00021l"
"m00021r"	"m00021"	""	"C16533"	""	""	""	"LMFA01030405"	""	""	"M00021"	"MNXM9691"	"m00021r"
"m00021s"	"m00021"	""	"C16533"	""	""	""	"LMFA01030405"	""	""	"M00021"	"MNXM9691"	"m00021s"
"m00022c"	"m00022"	""	""	""	""	""	""	""	""	"M00022"	"MNXM149276"	"m00022c"
"m00022m"	"m00022"	""	""	""	""	""	""	""	""	"M00022"	"MNXM149276"	"m00022m"
"m00022r"	"m00022"	""	""	""	""	""	""	""	""	"M00022"	"MNXM149276"	"m00022r"
"m00023c"	"m00023"	""	"C16645"	""	""	""	"LMFA07050037"	""	""	"M00023"	"MNXM9382"	"m00023c"
"m00023m"	"m00023"	""	"C16645"	""	""	""	"LMFA07050037"	""	""	"M00023"	"MNXM9382"	"m00023m"
"m00023r"	"m00023"	""	"C16645"	""	""	""	"LMFA07050037"	""	""	"M00023"	"MNXM9382"	"m00023r"
"m00024c"	"m00024"	"nrvnccrn"	""	""	""	""	""	""	""	"nrvnccrn"	"MNXM8942"	"m00024c"
"m00024r"	"m00024"	"nrvnccrn"	""	""	""	""	""	""	""	"nrvnccrn"	"MNXM8942"	"m00024r"
"m00025c"	"m00025"	"nrvnccoa"	"C16532"	""	""	"24892792"	"LMFA07050058"	"CE5159"	""	"nrvnccoa"	"MNXM13000;MNXM5851"	"m00025c"
"m00025p"	"m00025"	"nrvnccoa"	"C16532"	""	""	"24892792"	"LMFA07050058"	"CE5159"	""	"nrvnccoa"	"MNXM13000;MNXM5851"	"m00025p"
"m00025r"	"m00025"	"nrvnccoa"	"C16532"	""	""	"24892792"	"LMFA07050058"	"CE5159"	""	"nrvnccoa"	"MNXM13000;MNXM5851"	"m00025r"
"m00026m"	"m00026"	""	""	""	""	""	""	"CE6186"	""	"CE6186"	"MNXM33779"	"m00026m"
"m00026p"	"m00026"	""	""	""	""	""	""	"CE6186"	""	"CE6186"	"MNXM33779"	"m00026p"
"m00027p"	"m00027"	""	""	""	""	"53481494"	""	"CE6191"	""	"CE6191"	"MNXM33780"	"m00027p"
"m00028c"	"m00028"	""	""	""	"CHEBI:81563"	"16061126"	""	"CE7090"	""	"CE7090"	"MNXM33782"	"m00028c"
"m00029c"	"m00029"	""	""	""	"CHEBI:81563"	"16061126"	"LMFA03070025"	"CE7090"	""	"CE7090"	"MNXM33782"	"m00029c"
"m00030c"	"m00030"	""	"C19559"	""	""	""	""	""	""	"M00030"	"MNXM13488"	"m00030c"
"m00031c"	"m00031"	""	"C14791"	""	""	""	""	""	""	"M00031"	"MNXM6499"	"m00031c"
"m00032c"	"m00032"	"onpthl"	"C14786"	""	"CHEBI:33998"	"108063"	""	""	""	"onpthl"	"MNXM12425;MNXM3390"	"m00032c"
"m00032s"	"m00032"	"onpthl"	"C14786"	""	"CHEBI:33998"	"108063"	""	""	""	"onpthl"	"MNXM12425;MNXM3390"	"m00032s"
"m00033c"	"m00033"	""	"C14792"	""	""	""	""	""	""	"M00033"	"MNXM6503"	"m00033c"
"m00034c"	"m00034"	""	"C14787"	""	""	""	""	""	""	"M00034"	"MNXM2885"	"m00034c"
"m00035c"	"m00035"	"2425dhvitd3"	"C07712"	""	"CHEBI:28818"	""	"LMST03020273"	""	""	"2425dhvitd3"	"MNXM6763"	"m00035c"
"m00035m"	"m00035"	"2425dhvitd3"	"C07712"	""	"CHEBI:28818"	""	"LMST03020273"	""	""	"2425dhvitd3"	"MNXM6763"	"m00035m"
"m00035s"	"m00035"	"2425dhvitd3"	"C07712"	""	"CHEBI:28818"	""	"LMST03020273"	""	""	"2425dhvitd3"	"MNXM6763"	"m00035s"
"m00036m"	"m00036"	""	"C05450"	""	"CHEBI:52050"	"46224537"	""	"CE5168"	""	"HC01459"	"MNXM732;MNXM827"	"m00036m"
"m00036p"	"m00036"	""	"C05450"	""	"CHEBI:52050"	"46224537"	""	"CE5168"	""	"HC01459"	"MNXM732;MNXM827"	"m00036p"
