rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
"HMR_3905"	"R00754"	"ALCD2x"	"R00754C"	"r0187"	""	"ALCD2if"	"MNXR95725"	"HMR_3905"	"RCR11018"	""	0	"MA_03905"
"HMR_3907"	"R00746"	"ALCD2y"	""	""	""	"ALCD2yf"	"MNXR95726"	"HMR_3907"	"RCR11019"	""	0	"MA_03907"
"HMR_4097"	"R00235"	"ACS"	"R00235C"	"r0066"	""	"ACS"	"MNXR95413"	"HMR_4097"	"RCR10002"	""	0	"MA_04097"
"HMR_4099"	"R00235"	"ACSm"	"R00235C"	"r0067"	""	"ACSm"	"MNXR95413"	"HMR_4099"	"RCR10144"	""	0	"MA_04099"
"HMR_4108"	"R00236"	""	"R00236C"	"r0068"	""	"r0068"	"MNXR105304"	"HMR_4108"	"RCR11020"	""	0	"MA_04108"
"HMR_4133"	"R00316"	""	"R00316C"	"r0097"	""	"r0097"	"MNXR105307"	"HMR_4133"	"RCR11021"	""	0	"MA_04133"
"HMR_4137"	"R00209"	"PDHm"	"R00209C"	"r0056"	""	"PDHm"	"MNXR102425"	"HMR_4137"	"RCR10275"	""	0	"MA_04137"
"HMR_4281"	"R00703"	""	"R00703C"	"r0173"	""	"r0173"	"MNXR101040"	"HMR_4281"	"RCR10083"	""	0	"MA_04281"
"HMR_4388"	"R00703"	"LDH_L"	"R00703C"	"r0171"	""	"LDH_L"	"MNXR101040"	"HMR_4388"	"RCR10441"	""	0	"MA_04388"
"HMR_4283"	"R00711"	""	"R00711C"	"r0177"	""	"ALDD2y"	"MNXR95750"	"HMR_4283"	"RCR11022"	""	0	"MA_04283"
"HMR_8357"	"R00710"	"ALDD2xm"	""	""	""	"ALDD2xm"	"MNXR106570;MNXR95749"	"HMR_8357"	"RCR11023"	""	0	"MA_08357"
"HMR_4379"	"R00756"	"PFK"	""	"r0736"	""	"PFK"	"MNXR102507;MNXR106666"	"HMR_4379"	"RCR14180"	""	0	"MA_04379"
"HMR_4301"	"R00769"	""	""	"r0191"	""	"r0191"	"MNXR105312;MNXR106676"	"HMR_4301"	"RCR14181"	""	0	"MA_04301"
"HMR_4355"	"R01829"	""	"R01829C"	"r0407"	""	"r0407"	"MNXR105337;MNXR99461"	"HMR_4355"	"RCR14182"	""	0	"MA_04355"
"HMR_4358"	"R00200"	"PYK"	"R00200C"	"r0054"	""	"PYK"	"MNXR103371"	"HMR_4358"	"RCR10276"	""	0	"MA_04358"
"HMR_4360"	"R00205"	""	""	"r0055"	""	"r0055"	"MNXR95787"	"HMR_4360"	"RCR11024"	""	0	"MA_04360"
"HMR_4363"	"R00658"	"ENO"	"R00658C"	"r0164"	""	"ENO"	"MNXR97932"	"HMR_4363"	"RCR10443"	""	0	"MA_04363"
